itemLabel,employeerLabel,date
Julia Löhr,Frankfurter Allgemeine Zeitung,2024-10-30T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2022-10-11T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-01-18T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-03-16T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-04-26T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-06-06T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-06-27T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-09-13T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2024-03-14T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2024-07-09T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2024-10-30T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2022-10-11T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-01-18T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-03-16T00:00:00Z
Julia Löhr,Frankfurter Allgemeine Zeitung,2023-04-26T00:00:00Z
