itemLabel,partyLabel,date
Armin Laschet,Christlich Demokratische Union,2018-02-01T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2018-06-28T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2019-01-09T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2019-11-20T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2020-05-07T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2021-01-14T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2021-03-30T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2013-11-21T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2016-05-12T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-01-24T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-09-27T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2018-02-01T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2018-06-28T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2019-01-09T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2019-11-20T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2020-05-07T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2021-01-14T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2021-03-30T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2013-11-21T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2016-05-12T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-01-24T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-09-27T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2018-02-01T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2018-06-28T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2019-01-09T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2019-11-20T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2020-05-07T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2021-01-14T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2021-03-30T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2013-11-21T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2016-05-12T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-01-24T00:00:00Z
