Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8
 Markus Lanz 15.02.2017,960,10,16,15.02.2017,070'54,23:45:58 - 00:56:52," 23:45:58 - 00:56:52 070'54 O-Ton Interview Markus LANZ mit den Studiogästen Waldemar HARTMANN (Moderator), Lars LUNDE (ehem. Fußballprofi), Britta WULF (Regisseurin), Heiko WASSER (Kommentator) und Olaf SUNDERMEYER (Journalist) ",Waldemar HARTMANN,Moderator,Lars LUNDE,ehem. Fußballprofi,Britta WULF,Regisseurin,Heiko WASSER,Kommentator,Olaf SUNDERMEYER,Journalist,,,,,,
 Markus Lanz 16.02.2017,961,10,17,16.02.2017,076'17,23:20:28 - 00:36:45," 23:20:28 - 00:36:45 076'17 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Journalist, stellv. Chefredakteur ZDF, Terrorismusexperte), Sylke TEMPEL (Journalistin), Melanie C (Mel C, Melanie CHISHOLM",Elmar THEVEßEN,"Journalist, stellv. Chefredakteur ZDF, Terrorismusexperte",Sylke TEMPEL,Journalistin,,,,,,,,,,,,
 Markus Lanz 21.02.2017,962,10,18,21.02.2017,070'29,10:00:00 - 11:10:29," 10:00:00 - 11:10:29 070'29 O-Ton Interview Markus LANZ mit den Studiogästen Dirk STEFFENS (Naturfilmer, Moderator), Norbert ROSING (Naturfotograf), Horst EVERS (Gerd WINTER, Kabarettist), Jochen SCHROPP (Schauspieler, Moderator) und Sabrina TOPHOFEN (Missbrauchsopfer) ",Dirk STEFFENS,"Naturfilmer, Moderator",Norbert ROSING,Naturfotograf,Horst EVERS,"Gerd WINTER, Kabarettist",Jochen SCHROPP,"Schauspieler, Moderator",Sabrina TOPHOFEN,Missbrauchsopfer,,,,,,
 Markus Lanz 22.02.2017,963,10,19,22.02.2017,075'34,10:00:00 - 11:15:34," 10:00:00 - 11:15:34 075'34 O-Ton Interview Markus LANZ mit den Studiogästen Huub STEVENS (ehem. Fußballtrainer), Rolf FUHRMANN (Sportreporter), Mai-Lin SENF (Motorrad-Stuntfrau) und Fabian HAMBÜCHEN (Kunstturner) ",Huub STEVENS,ehem. Fußballtrainer,Rolf FUHRMANN,Sportreporter,Lin SENF,Motorrad-Stuntfrau,Fabian HAMBÜCHEN,Kunstturner,,,,,,,,
 Markus Lanz 23.02.2017,964,10,20,23.02.2017,075'02,10:00:00 - 11:15:02," 10:00:00 - 11:15:02 075'02 O-Ton Interview Markus LANZ mit den Studiogästen Dr. Cornelia STRUNZ (Ärztin), Tiranke DIALLO (Geschäftsführerin des Vereins ""Mama Afrika""), Charles BRAUER (Schauspieler), Helge SCHNEIDER (Komiker) und Mathilde SCHWABENEDER-HAIN (Autorin, ORF-Auslandskorrespondentin) ",Cornelia STRUNZ,Ärztin,Tiranke DIALLO,"Geschäftsführerin des Vereins ""Mama Afrika""",Charles BRAUER,Schauspieler,Helge SCHNEIDER,Komiker,Mathilde SCHWABENEDER-HAIN,"Autorin, ORF-Auslandskorrespondentin",,,,,,
 Markus Lanz 28.02.2017,965,10,21,28.02.2017,075'16,22:44:54 - 00:00:10," 22:44:54 - 00:00:10 075'16 O-Ton Interview Markus LANZ mit den Studiogästen Sarah TACKE (ZDF-Rechtsexpertin), Maria HÖFL-RIESCH und Schwester Susanne RIESCH (beide ehem. Skirennläuferin), Alfons SCHUHBECK (Sternekoch) und Nick YARRIS (saß 21 Jahre unschuldig wegen Mord im Gefängnis) ",Sarah TACKE,ZDF-Rechtsexpertin,Maria HÖFL-RIESCH,beide ehem. Skirennläuferin,Schwester Susanne RIESCH,beide ehem. Skirennläuferin,Alfons SCHUHBECK,Sternekoch,Nick YARRIS,saß 21 Jahre unschuldig wegen Mord im Gefängnis,,,,,,
 Markus Lanz 01.03.2017,966,10,22,01.03.2017,074'20,23:21:30 - 00:35:50," 23:21:30 - 00:35:50 074'20 O-Ton Interview Markus LANZ mit den Studiogästen Seyran ATES (Anwältin, Frauenrechtlerin), Melanie AMANN (Journalistin), Ralf SCHMITZ (Comedian) und Prof. Klaus PÜSCHEL (Rechtsmediziner) ",Seyran ATES,"Anwältin, Frauenrechtlerin",Melanie AMANN,Journalistin,Ralf SCHMITZ,Comedian,Klaus PÜSCHEL,Rechtsmediziner,,,,,,,,
 Markus Lanz 02.03.2017,967,10,23,02.03.2017,074'35,23:23:21 - 00:37:56," 23:23:21 - 00:37:56 074'35 O-Ton Interview Markus LANZ mit den Studiogästen Matthias SCHRANNER (Verhandlungsexperte), Werner SCHNEYDER (Kabarettist), Zana RAMADANI (Autorin 'Die verschleierte Gefahr - Die Macht der muslimischen Mütter und der Toleranzwahn der Deutschen') und Karamba DIABY (MdB, SPD) ",Matthias SCHRANNER,Verhandlungsexperte,Werner SCHNEYDER,Kabarettist,Zana RAMADANI,Autorin 'Die verschleierte Gefahr - Die Macht der muslimischen Mütter und der Toleranzwahn der Deutschen',Karamba DIABY,"MdB, SPD",,,,,,,,
 Markus Lanz 07.03.2017,968,10,24,07.03.2017,075'01,23:40:26 - 00:55:27," 23:40:26 - 00:55:27 075'01 O-Ton Interview Markus LANZ mit den Studiogästen Wolfram WEIMER (Journalist), Ahmet TOPRAK (Erziehungswissenschaftler), Maren KROYMANN (Schauspielerin, Kabarettistin), Bill KAULITZ (Sänger Band 'Tokio Hotel') und Tom FRANZ (Thomas FRANZ",Wolfram WEIMER,Journalist,Ahmet TOPRAK,Erziehungswissenschaftler,Maren KROYMANN,"Schauspielerin, Kabarettistin",Bill KAULITZ,Sänger Band 'Tokio Hotel',,,,,,,,
 Markus Lanz 08.03.2017,969,10,25,08.03.2017,075'12,23:14:34 - 00:29:46," 23:14:34 - 00:29:46 075'12 O-Ton Interview Markus LANZ mit den Studiogästen Fritz VON THURN UND TAXIS (Journalist), Anna KRAFT (Journalistin), Uli BOROWKA (ehem. Fußballprofi), Alexander STEVENS (Rechtsanwalt) und Det MÜLLER (Moderator) ",Fritz VON,Journalist,Anna KRAFT,Journalistin,Uli BOROWKA,ehem. Fußballprofi,Alexander STEVENS,Rechtsanwalt,Det MÜLLER,Moderator,,,,,,
 Markus Lanz 09.03.2017,970,10,26,09.03.2017,074'23,23:18:00 - 00:32:23," 23:18:00 - 00:32:23 074'23 O-Ton Interview Markus LANZ mit den Studiogästen Edzard REUTER (ehem. Vorstandsvorsitzender der Daimler-Benz AG), Richard David PRECHT (Philosoph), Nicola BAUMANN (Eurofighter-Pilotin) und Andreas ALTMANN (Autor) ",Edzard REUTER,ehem. Vorstandsvorsitzender der Daimler-Benz AG,Richard David PRECHT,Philosoph,Nicola BAUMANN,Eurofighter-Pilotin,Andreas ALTMANN,Autor,,,,,,,,
 Markus Lanz 14.03.2017,971,10,27,14.03.2017,075'20,23:18:00 - 00:33:20," 23:18:00 - 00:33:20 075'20 O-Ton Interview Markus LANZ mit den Studiogästen Claus HECKING (Journalist), Hermann GERLAND (Fußballtrainer FC Bayern München) mit Dietmar HAMANN (ehem. Fußballer), Judith HOLOFERNES (Sängerin), Kester SCHLENZ (Journalist, Autor) ",Claus HECKING,Journalist,Hermann GERLAND,Fußballtrainer FC Bayern München,Dietmar HAMANN,ehem. Fußballer,Judith HOLOFERNES,Sängerin,Kester SCHLENZ,"Journalist, Autor",,,,,,
 Markus Lanz 15.03.2017,972,10,28,15.03.2017,070'36,23:49:39 - 01:00:15," 23:49:39 - 01:00:15 070'36 O-Ton Interview Markus LANZ mit den Studiogästen Dirk SCHÜMER (Journalist, Autor), Marcel REIF (Journalist), Prof. Marion KIECHLE (Wissenschaftlerin, Gynäkologin), Fabian BOLL (ehem. Fußballprofi) und Felix WIEMERS (Ski-Freerider) ",Dirk SCHÜMER,"Journalist, Autor",Marcel REIF,Journalist,Marion KIECHLE,"Wissenschaftlerin, Gynäkologin",Fabian BOLL,ehem. Fußballprofi,Felix WIEMERS,Ski-Freerider,,,,,,
 Markus Lanz 16.03.2017,,,,16.03.2017,075'51,23:20:33 - 00:36:24," 23:20:33 - 00:36:24 075'51 O-Ton Interview Markus LANZ mit den Studiogästen Alice SCHWARZER (Publizistin, Autorin), Robin ALEXANDER (Journalist), Philip SIEGEL (Autor), Axel SCHULZ (ehem. Boxer) und Karsten STANBERGER (Autor) ",Alice SCHWARZER,"Publizistin, Autorin",Robin ALEXANDER,Journalist,Philip SIEGEL,Autor,Axel SCHULZ,ehem. Boxer,Karsten STANBERGER,Autor,,,,,,
 Markus Lanz 21.03.2017,974,10,30,21.03.2017,075'32,22:44:44 - 00:00:16," 22:44:44 - 00:00:16 075'32 O-Ton Interview Markus LANZ mit den Studiogästen Robin ALEXANDER (Journalist), Dieter NUHR (Kabarettist), Ingrid VAN BERGEN (Schauspielerin) und Carsten STORMER (Kriegsreporter) ",Robin ALEXANDER,Journalist,Dieter NUHR,Kabarettist,Ingrid VAN,Schauspielerin,Carsten STORMER,Kriegsreporter,,,,,,,,
 Markus Lanz 22.03.2017,975,10,31,22.03.2017,069'36,23:51:14 - 01:00:50," 23:51:14 - 01:00:50 069'36 O-Ton Interview Markus LANZ mit den Studiogästen Thomas JÄGER (Politikwissenschaftler), Christiane ZU SALM (Sterbebegleiterin), Walter PLATHE (Schauspieler), Frank OTTO (Unternehmer) und Nathalie VOLK (Model) ",Thomas JÄGER,Politikwissenschaftler,Christiane ZU,Sterbebegleiterin,Walter PLATHE,Schauspieler,Frank OTTO,Unternehmer,Nathalie VOLK,Model,,,,,,
 Markus Lanz 23.03.2017,976,10,32,23.03.2017,076'17,23:20:36 - 00:36:53," 23:20:36 - 00:36:53 076'17 O-Ton Interview Markus LANZ mit den Studiogästen Heribert PRANTL (Journalist), Jan FLEISCHHAUER (Journalist), Martin SCHMITT (ehem. Skispringer), Dagmar SCHAPER-SCHULZ und Dieter SCHULZ ",Heribert PRANTL,Journalist,Jan FLEISCHHAUER,Journalist,Martin SCHMITT,ehem. Skispringer,,,,,,,,,,
 Markus Lanz 28.03.2017,977,10,33,28.03.2017,075'43,23:01:22 - 00:17:05," 23:01:22 - 00:17:05 075'43 O-Ton Interview Markus LANZ mit den Studiogästen Albrecht VON LUCKE (Politologe), Olaf SUNDERMEYER (Journalist, Autor), Michaela MAY (Schauspielerin) und Mario RÖLLIG (Opfer der Stasi) ",Albrecht VON,Politologe,Olaf SUNDERMEYER,"Journalist, Autor",Michaela MAY,Schauspielerin,Mario RÖLLIG,Opfer der Stasi,,,,,,,,
 Markus Lanz 29.03.2017,978,10,34,29.03.2017,076'34,23:19:47 - 00:36:21," 23:19:47 - 00:36:21 076'34 O-Ton Interview Markus LANZ mit den Studiogästen Sebastian KRUMBIEGEL (Sänger), Rica REINISCH (ehem. DDR-Schwimmerin), Jutta BRAUN (Historikerin), Patrick VON BRAUNMÜHL (Rechtsanwalt) und Dorothee ACHENBACH (Kunstberaterin) ",Sebastian KRUMBIEGEL,Sänger,Rica REINISCH,ehem. DDR-Schwimmerin,Jutta BRAUN,Historikerin,Patrick VON,Rechtsanwalt,Dorothee ACHENBACH,Kunstberaterin,,,,,,
 Markus Lanz 30.03.2017,979,10,35,30.03.2017,074'01,23:25:38 - 00:39:39," 23:25:38 - 00:39:39 074'01 O-Ton Interview Markus LANZ mit den Studiogästen Renan DEMIRKAN (Schauspielerin), Michel FRIEDMAN (Journalist), Wolke HEGENBARTH (Schauspielerin), Jean ZIEGLER (Soziologe) und James BLUNT (Sänger) ",Renan DEMIRKAN,Schauspielerin,Michel FRIEDMAN,Journalist,Wolke HEGENBARTH,Schauspielerin,Jean ZIEGLER,Soziologe,James BLUNT,Sänger,,,,,,
 Markus Lanz 04.04.2017,980,10,36,04.04.2017,075'43,23:42:11 - 00:57:54," 23:42:11 - 00:57:54 075'43 O-Ton Interview Markus LANZ mit den Studiogästen Constantin SCHREIBER (Journalist), Husamuddin MEYER (Imam), Prof. Michael SCHULTE-MARKWORT (Arzt, Kinder- und Jugendpsychiater) und Michael QUETTING (Autor, Laborleiter beim Max-Planck-Institut für Ornithologie) ",Constantin SCHREIBER,Journalist,Husamuddin MEYER,Imam,Michael SCHULTE-MARKWORT,"Arzt, Kinder- und Jugendpsychiater",Michael QUETTING,"Autor, Laborleiter beim Max-Planck-Institut für Ornithologie",,,,,,,,
 Markus Lanz 05.04.2017,981,10,37,05.04.2017,074'22,23:34:56 - 00:49:18," 23:34:56 - 00:49:18 074'22 O-Ton Interview Markus LANZ mit den Studiogästen Michael LÜDERS (Nahostexperte), Prof. Edmund MASER (Toxikologe), Gisela GETTY (Autorin, Fotografin), Rainer LANGHANS (Filmemacher, Autor) und Stephan HARBORT (Kriminalhauptkommissar) ",Michael LÜDERS,Nahostexperte,Edmund MASER,Toxikologe,Gisela GETTY,"Autorin, Fotografin",Rainer LANGHANS,"Filmemacher, Autor",Stephan HARBORT,Kriminalhauptkommissar,,,,,,
 Markus Lanz 06.04.2017,982,10,38,06.04.2017,075'20,23:16:11 - 00:31:31," 23:16:11 - 00:31:31 075'20 O-Ton Interview Markus LANZ mit den Studiogästen Ilkay YÜCEL (Schwester von Deniz Yücel), Ursula MEISSNER (Kriegsfotografin), Oliver MOMMSEN (Schauspieler) und Kai JÄGER (Paläontologe) ",Ilkay YÜCEL,Schwester von Deniz Yücel,Ursula MEISSNER,Kriegsfotografin,Oliver MOMMSEN,Schauspieler,Kai JÄGER,Paläontologe,,,,,,,,
 Markus Lanz 11.04.2017,983,10,39,11.04.2017,074'35,23:20:31 - 00:35:06," 23:20:31 - 00:35:06 074'35 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Christian HACKE (Politologe), Frank ELSTNER (Moderator) und Prof. Gerd SCHNACK (Präventivmediziner), Marian GOLD (Musiker) und Erika MAYR (Stadtimkerin) ",Christian HACKE,Politologe,Frank ELSTNER,Moderator,Gerd SCHNACK,Präventivmediziner,Marian GOLD,Musiker,Erika MAYR,Stadtimkerin,,,,,,
 Markus Lanz 12.04.2017,984,10,40,12.04.2017,071'34,23:47:16 - 00:58:50," 23:47:16 - 00:58:50 071'34 O-Ton Interview Markus LANZ mit den Studiogästen Peter NEUMANN (Terrorismus-Experte), Lars RICKEN (BVB-Nachwuchskoordinator), Marcel REIF (Journalist), Jasmin TABATABAI (Schauspielerin) und Danny MACASKILL (Street-Trials-Profi) ",Peter NEUMANN,Terrorismus-Experte,Lars RICKEN,BVB-Nachwuchskoordinator,Marcel REIF,Journalist,Jasmin TABATABAI,Schauspielerin,Danny MACASKILL,Street-Trials-Profi,,,,,,
 Markus Lanz 13.04.2017,985,10,41,13.04.2017,075'16,23:15:54 - 00:31:10," 23:15:54 - 00:31:10 075'16 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Journalist), Ulrich KIENZLE (Publizist), Mustafa KARADENIZ (Unternehmer), Pari ROEHI (Model) und Claus Theo GÄRTNER (Schauspieler) ",Elmar THEVEßEN,Journalist,Ulrich KIENZLE,Publizist,Mustafa KARADENIZ,Unternehmer,Pari ROEHI,Model,Claus Theo GÄRTNER,Schauspieler,,,,,,
 Markus Lanz 18.04.2017,986,10,42,18.04.2017,075'41,10:00:00 - 11:15:41," 10:00:00 - 11:15:41 075'41 O-Ton Interview Markus LANZ mit den Studiogästen Dr. Saskia ETZOLD (Rechtsmedizinerin, Charite Berlin), Til SCHWEIGER (Regisseur), Heino FERCH (Schauspieler) und Leon WINDSCHEID (Wirtschaftspsychologe, gewann eine Million Euro bei 'Wer wird Millionär?') ",Saskia ETZOLD,"Rechtsmedizinerin, Charite Berlin",Til SCHWEIGER,Regisseur,Heino FERCH,Schauspieler,Leon WINDSCHEID,"Wirtschaftspsychologe, gewann eine Million Euro bei 'Wer wird Millionär?'",,,,,,,,
 Markus Lanz 19.04.2017,987,10,43,19.04.2017,070'31,10:00:00 - 11:10:31," 10:00:00 - 11:10:31 070'31 O-Ton Interview Markus LANZ mit den Studiogästen Jörg WONTORRA (Sportmoderator) und Chantal BAUSCH (Tochter von Lebensgefährtin von Jörg Wontorra, lebt mit einem Spenderherz), Mariele MILLOWITSCH (Schauspielerin), Matze KNOP (Comedian) und Friedemann KARIG (Autor) ",Jörg WONTORRA,Sportmoderator,Chantal BAUSCH,"Tochter von Lebensgefährtin von Jörg Wontorra, lebt mit einem Spenderherz",Mariele MILLOWITSCH,Schauspielerin,Matze KNOP,Comedian,Friedemann KARIG,Autor,,,,,,
 Markus Lanz 20.04.2017,,,,20.04.2017,075'07,10:00:00 - 11:15:07," 10:00:00 - 11:15:07 075'07 O-Ton Interview Markus LANZ mit den Studiogästen Asiem EL DIFRAOUI (Politologe), Wolfgang GRUPP und Elisabeth GRUPP (Unternehmer-Ehepaar), Dominic RAACKE (Schauspieler) und Horst HENNINGS (Angelexperte) ",Asiem EL,Politologe,Wolfgang GRUPP,Unternehmer-Ehepaar,Elisabeth GRUPP,Unternehmer-Ehepaar,Dominic RAACKE,Schauspieler,Horst HENNINGS,Angelexperte,,,,,,
 Markus Lanz 25.04.2017,989,10,45,25.04.2017,070'25,23:44:17 - 00:54:42," 23:44:17 - 00:54:42 070'25 O-Ton Interview Markus LANZ mit den Studiogästen Elisabeth RAETHER (Journalistin) und Theo KOLL (Leiter ZDF-Auslandsstudio Paris), Franca PARIANEN (Neurowissenschaftlerin), Prof. Andreas MICHALSEN (Arzt für Naturheilkunde) und Günther Maria HALMER (Schauspieler) ",Elisabeth RAETHER,Journalistin,Theo KOLL,Leiter ZDF-Auslandsstudio Paris,Franca PARIANEN,Neurowissenschaftlerin,Andreas MICHALSEN,Arzt für Naturheilkunde,Günther Maria HALMER,Schauspieler,,,,,,
 Markus Lanz 26.04.2017,990,10,46,26.04.2017,070'36,23:48:38 - 00:59:14," 23:48:38 - 00:59:14 070'36 O-Ton Interview Markus LANZ mit den Studiogästen Hajo SCHUMACHER (Autor, Journalist), Andreas ENGLISCH (Autor, Journalist), Krzysztof CHARAMSA (der katholische Theologe wurde nach seinem Outing suspendiert) und Verena LUGERT (hat von Journalistin auf Köchin umgeschult) ",Hajo SCHUMACHER,"Autor, Journalist",Andreas ENGLISCH,"Autor, Journalist",Krzysztof CHARAMSA,der katholische Theologe wurde nach seinem Outing suspendiert,Verena LUGERT,hat von Journalistin auf Köchin umgeschult,,,,,,,,
 Markus Lanz 27.04.2017,991,10,47,27.04.2017,076'21,23:37:11 - 00:53:32," 23:37:11 - 00:53:32 076'21 O-Ton Interview Markus LANZ mit den Studiogästen Gerhart BAUM (ehem. BMI, FDP), Stefan AUST (Journalist), Wolfgang SELIGER (ehem. Polizist), LEVINA (Isabella Levina LUEEN, Sängerin) und Felix STARCK (Abenteurer) ",Gerhart BAUM,"ehem. BMI, FDP",Stefan AUST,Journalist,Wolfgang SELIGER,ehem. Polizist,Felix STARCK,Abenteurer,,,,,,,,
 Markus Lanz 02.05.2017,992,10,48,02.05.2017,074'57,23:03:57 - 00:18:54," 23:03:57 - 00:18:54 074'57 O-Ton Interview Markus LANZ mit den Studiogästen Bernd BÖNTE (Box-Manager) und Axel SCHULZ (ehem. Boxer), Marcell JANSEN (ehem. Fußballer), Johann LAFER (Sternekoch) und Jürgen DOLLASE (Restaurantkritiker) sowie Tanja SZEWCZENKO (ehem. Eiskunstläuferin) ",Bernd BÖNTE,Box-Manager,Axel SCHULZ,ehem. Boxer,Marcell JANSEN,ehem. Fußballer,Johann LAFER,Sternekoch,Jürgen DOLLASE,Restaurantkritiker,Tanja SZEWCZENKO,ehem. Eiskunstläuferin,,,,
 Markus Lanz 03.05.2017,993,10,49,03.05.2017,073'35,23:12:54 - 00:26:29," 23:12:54 - 00:26:29 073'35 O-Ton Interview Markus LANZ mit den Studiogästen Robin ALEXANDER (Journalist), Alexander HOLD (Richter), Marek ERHARDT (Schauspieler), Benjamin ADRION (ehem. Fußballprofi) und Helga HENGGE (Bergsteigerin) ",Robin ALEXANDER,Journalist,Alexander HOLD,Richter,Marek ERHARDT,Schauspieler,Benjamin ADRION,ehem. Fußballprofi,Helga HENGGE,Bergsteigerin,,,,,,
 Markus Lanz 04.05.2017,994,10,50,04.05.2017,074'23,23:18:51 - 00:33:14," 23:18:51 - 00:33:14 074'23 O-Ton Interview Markus LANZ mit den Studiogästen Heiner GEIßLER (ehem. Politiker, CDU), CAMPINO (Sänger Die Toten Hosen), Laura KARASEK (Rechtsanwältin), Prof. Sven GOTTSCHLING (Arzt) ",Heiner GEIßLER,"ehem. Politiker, CDU",Laura KARASEK,Rechtsanwältin,Sven GOTTSCHLING,Arzt,,,,,,,,,,
 Markus Lanz 09.05.2017,995,10,51,09.05.2017,075'08,23:17:28 - 00:32:36," 23:17:28 - 00:32:36 075'08 O-Ton Interview Markus LANZ mit den Studiogästen Wolfram WEIMER zusammen mit Ulrich WICKERT (beide Journalist), Nora TSCHIRNER (Schauspielerin, Filmproduzentin) und Prof. Peter BERTHOLD (Ornithologe) ",Wolfram WEIMER,beide Journalist,Ulrich WICKERT,beide Journalist,Nora TSCHIRNER,"Schauspielerin, Filmproduzentin",Peter BERTHOLD,Ornithologe,,,,,,,,
 Markus Lanz 10.05.2017,996,10,52,10.05.2017,075'36,23:33:30 - 00:49:06," 23:33:30 - 00:49:06 075'36 O-Ton Interview Markus LANZ mit den Studiogästen Peter DAUSEND (Journalist), Christian MIKOLAJCZAK (ehem. Fußballprofi), Rolf ZUCKOWSKI (Musiker) und Dr. Natalie GRAMS (Ärztin) ",Peter DAUSEND,Journalist,Christian MIKOLAJCZAK,ehem. Fußballprofi,Rolf ZUCKOWSKI,Musiker,Natalie GRAMS,Ärztin,,,,,,,,
 Markus Lanz 11.05.2017,,,,11.05.2017,075'11,23:32:56 - 00:48:07," 23:32:56 - 00:48:07 075'11 O-Ton Interview Markus LANZ mit den Studiogästen Hamed ABDEL-SAMAD (Politologe, Islamwissenschaftler), Ulrich KIENZLE (Journalist), Nikeata THOMPSON (Tänzerin, Choreografin) und Dr. Signe PREUSCHOFT (Primatologin) ",Hamed ABDEL-SAMAD,"Politologe, Islamwissenschaftler",Ulrich KIENZLE,Journalist,Nikeata THOMPSON,"Tänzerin, Choreografin",Signe PREUSCHOFT,Primatologin,,,,,,,,
 Markus Lanz 16.05.2017,998,10,54,16.05.2017,075'04,23:38:24 - 00:53:28," 23:38:24 - 00:53:28 075'04 O-Ton Interview Markus LANZ mit den Studiogästen Christian LINDNER (Vors. FDP), Dirk SCHÜMER (Journalist), Markus FELDENKIRCHEN (Journalist), Hannes JAENICKE (Schauspieler) und Michael CRETU (Musiker) ",Christian LINDNER,Vors. FDP,Dirk SCHÜMER,Journalist,Markus FELDENKIRCHEN,Journalist,Hannes JAENICKE,Schauspieler,Michael CRETU,Musiker,,,,,,
 Markus Lanz 17.05.2017,999,10,55,17.05.2017,074'38,23:34:23 - 00:49:01," 23:34:23 - 00:49:01 074'38 O-Ton Interview Markus LANZ mit den Studiogästen Katarina BARLEY (GenSekr SPD), Ulf POSCHARDT (Journalist), Guido LIMMER (Kriminaltechniker) und Miriam HÖLLER (Stuntfrau) ",Katarina BARLEY,GenSekr SPD,Ulf POSCHARDT,Journalist,Guido LIMMER,Kriminaltechniker,Miriam HÖLLER,Stuntfrau,,,,,,,,
 Markus Lanz 18.05.2017,1000,10,56,18.05.2017,074'37,23:19:02 - 00:33:39," 23:19:02 - 00:33:39 074'37 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang BOSBACH (MdB, CDU), Albrecht VON LUCKE (Politologe), Olaf SUNDERMEYER (Journalist), Sammy AMARA (Sänger Broilers) und Heidi HETZER (Rallyefahrerin) ",Wolfgang BOSBACH,"MdB, CDU",Albrecht VON,Politologe,Olaf SUNDERMEYER,Journalist,Sammy AMARA,Sänger Broilers,Heidi HETZER,Rallyefahrerin,,,,,,
 Markus Lanz 23.05.2017,1001,10,57,23.05.2017,073'50,22:59:30 - 00:13:20," 22:59:30 - 00:13:20 073'50 O-Ton Interview Markus LANZ mit den Studiogästen Stefan AUST (Journalist), Cem ÖZDEMIR (Vors. Bündnis 90 / Die Grünen), Dr. Markus PREITER (Psychiater Asklepios-Klinik Hamburg), Bernd STELTER (Comedian, Karnevalist) und Justine THIEDE (ihre an Alzheimer erkrankte Mutter lebt in einem Demenzdorf) ",Stefan AUST,Journalist,Cem ÖZDEMIR,Vors. Bündnis 90 / Die Grünen,Markus PREITER,Psychiater Asklepios-Klinik Hamburg,Bernd STELTER,"Comedian, Karnevalist",Justine THIEDE,ihre an Alzheimer erkrankte Mutter lebt in einem Demenzdorf,,,,,,
 Markus Lanz 24.05.2017,1002,10,58,24.05.2017,074'30,23:28:31 - 00:43:01," 23:28:31 - 00:43:01 074'30 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Jan Ilhan KIZILHAN (Psychologe), Sylke TEMPEL (Journalistin), Joachim KROL (Schauspieler), Norbert DICKEL (Ex-Fußballprofi) und Heinz STRUNK (Autor) ",Jan Ilhan KIZILHAN,Psychologe,Sylke TEMPEL,Journalistin,Joachim KROL,Schauspieler,Norbert DICKEL,Ex-Fußballprofi,Heinz STRUNK,Autor,,,,,,
 Markus Lanz 25.05.2017,1003,10,59,25.05.2017,074'57,22:57:30 - 00:12:27," 22:57:30 - 00:12:27 074'57 O-Ton Interview Markus LANZ mit den Studiogästen Olaf SCHOLZ (Erster Bgm Hamburg, SPD), Michael SPRENG (Journalist), Florian SCHROEDER (Kabarettist), Katrin KRABBE-ZIMMERMANN (ehem. Sprinterin) und Fritz MEINECKE (Abenteurer) ",Olaf SCHOLZ,"Erster Bgm Hamburg, SPD",Michael SPRENG,Journalist,Florian SCHROEDER,Kabarettist,Katrin KRABBE-ZIMMERMANN,ehem. Sprinterin,Fritz MEINECKE,Abenteurer,,,,,,
 Markus Lanz 30.05.2017,1004,10,60,30.05.2017,075'15,22:45:48 - 00:01:03," 22:45:48 - 00:01:03 075'15 O-Ton Interview Markus LANZ mit den Studiogästen Klaus BRINKBÄUMER (Journalist), Ralph FREUND (Republicans Overseas Germany), Jochen BUSSE (Kabarettist), Jimmy KELLY (Musiker) und Deborah ZIEGLER (Autorin, Tochter nahm wegen Krebserkrankung aktive Sterbehilfe in Anspruch) ",Klaus BRINKBÄUMER,Journalist,Ralph FREUND,Republicans Overseas Germany,Jochen BUSSE,Kabarettist,Jimmy KELLY,Musiker,Deborah ZIEGLER,"Autorin, Tochter nahm wegen Krebserkrankung aktive Sterbehilfe in Anspruch",,,,,,
 Markus Lanz 31.05.2017,1005,10,61,31.05.2017,074'52,23:27:44 - 00:42:36, 23:27:44 - 00:42:36 074'52 O-Ton Interview Markus LANZ mit den Studiogästen ,,,,,,,,,,,,,,,,
 Markus Lanz 01.06.2017,1006,10,62,01.06.2017,075'10,23:29:02 - 00:44:12," 23:29:02 - 00:44:12 075'10 O-Ton Interview Markus LANZ mit den Studiogästen Ralf STEGNER (stellv. Vors. SPD, Vors. SPD Schleswig-Holstein), Nikolaus BLOME (Journalist), Gisela FRIEDRICHSEN (Gerichtsreporterin), Jeanne TURCZYNSKI (Autorin) und Michel ABDOLLAHI (Moderator) ",Ralf STEGNER,"stellv. Vors. SPD, Vors. SPD Schleswig-Holstein",Nikolaus BLOME,Journalist,Gisela FRIEDRICHSEN,Gerichtsreporterin,Jeanne TURCZYNSKI,Autorin,Michel ABDOLLAHI,Moderator,,,,,,
