Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 21.07.2009,,,,21.07.2009,074'35,23:18:34 - 00:33:09," 23:18:34 - 00:33:09 074'35 Interview Markus LANZ mit den Studiogästen Dr. Ralf HÖCKER (Autor und Rechtsanwalt), Dr. Marc LOOSE (Zahnarzt), Sabine LOOSE (Ehefrau von Marc Loose), Filip CVIJIC (Lebensretter eines 3-jährigen Mädchens), Gorbana CVIJIC (Mutter von Filip), Jennifer (erstes Schweinegrippeopfer in Deutschland), Dr. Heiko SCHNEITLER (Leiter des Gesundheitsamtes Düsseldorf) und Prof. Dr. Gerd Dieter Burchard (Leiter der Tropenmedizin und Infektiologie Universitätsklinikum Eppendorf in Hamburg) (O-Ton)",Ralf HÖCKER,Autor und Rechtsanwalt,Marc LOOSE,Zahnarzt,Sabine LOOSE,Ehefrau von Marc Loose,Filip CVIJIC,Lebensretter eines 3-jährigen Mädchens,Gorbana CVIJIC,Mutter von Filip,Heiko SCHNEITLER,Leiter des Gesundheitsamtes Düsseldorf,Gerd Dieter B,Leiter der Tropenmedizin und Infektiologie Universitätsklinikum Eppendorf in Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.07.2009,,,,22.07.2009,027'01,23:17:55 - 23:44:56," 23:17:55 - 23:44:56 027'01 Interview Markus LANZ mit den Studiogästen Hans FRAUST (Opfer von Nachterstedt), Moni FRAUST (Opfer von Nachterstedt), Hossein TUDESHKI (Leiter Institut für Bergbau), Monika MATSCHNIG (Diplom-Psychologin und Expertin für Körpersprache), Michael JÜRGS (Journalist und Autor), Michael SPRENG (Medienberater), Sandra OFER (Narkose-Opfer) und Peter KRANKE (Anästhesist) (O-Ton). 23:44:56 - 00:22:52 037'56 Interview Markus LANZ mit den Studiogästen Hans FRAUST (Opfer von Nachterstedt), Moni FRAUST (Opfer von Nachterstedt), Hossein TUDESHKI (Leiter Institut für Bergbau), Monika MATSCHNIG (Diplom-Psychologin und Expertin für Körpersprache), Michael JÜRGS (Journalist und Autor), Michael SPRENG (Medienberater), Sandra OFER (Narkose-Opfer) und Peter KRANKE (Anästhesist) (O-Ton). ",Hans FRAUST,Opfer von Nachterstedt,Moni FRAUST,Opfer von Nachterstedt,Hossein TUDESHKI,Leiter Institut für Bergbau,Monika MATSCHNIG,Diplom-Psychologin und Expertin für Körpersprache,Michael JÜRGS,Journalist und Autor,Michael SPRENG,Medienberater,Sandra OFER,Narkose-Opfer,Peter KRANKE,Anästhesist,Interview Markus LANZ,Opfer von Nachterstedt,Studiogästen Hans FRAUST,Opfer von Nachterstedt,Moni FRAUST,Opfer von Nachterstedt,Hossein TUDESHKI,Leiter Institut für Bergbau,Monika MATSCHNIG,Diplom-Psychologin und Expertin für Körpersprache,Michael JÜRGS,Journalist und Autor,Michael SPRENG,Medienberater,Sandra OFER,Narkose-Opfer,Peter KRANKE,Anästhesist,,,,,,,,
 Markus Lanz 23.07.2009,,,,23.07.2009,065'21,23:01:01 - 00:06:22," 23:01:01 - 00:06:22 065'21 Interview Markus LANZ mit den Studiogästen Roland RADEMACHER (Chef eines Automobilzulieferungsbetriebs), Hans Ulrich JÖRGES (Journalist), Manfred WEBER (Geschäftsführender Vorstand des Bundesverbandes Deutscher Banken), Michael OPOCZYNSKI (ZDF-WISO Moderator und Redaktionsleiter) Christian RITTEL (Opfer der größten Massenkarambolage auf der A-2), Prof. Dr. Mojib LATIF (Klimaforscher und Meteorologe), Klaus REINDL (Pressesprecher vom ADAC), Rainer MEIDINGER (Foodstylist) und Kolja KLEEBERG (TV-Koch) (O-Ton)",Roland RADEMACHER,Chef eines Automobilzulieferungsbetriebs,Hans Ulrich JÖRGES,Journalist,Manfred WEBER,Geschäftsführender Vorstand des Bundesverbandes Deutscher Banken,Michael OPOCZYNSKI,ZDF-WISO Moderator und Redaktionsleiter,Christian RITTEL,Opfer der größten Massenkarambolage auf der A-2,Mojib LATIF,Klimaforscher und Meteorologe,Klaus REINDL,Pressesprecher vom ADAC,Rainer MEIDINGER,Foodstylist,Kolja KLEEBERG,TV-Koch,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.07.2009,,,,28.07.2009,075'07,23:21:40 - 00:36:47," 23:21:40 - 00:36:47 075'07 Interview Markus LANZ mit Studiogästen Jürgen DREWS (Schlagerstar), Mickie KRAUSE (Schlagerstar), Michael WENDLER (Schlagerstar), Anna Maria ZIMMERMANN (Schlagerstar), Stephanie PALLASCH (Versicherungsexpertin), Thorsten RUDNIK (Bund der Versicherten), Klaus REINDL (Benzinpreisexperte), Dirk MÜLLER (Börsenguru), Frank BEHA (Bruder Longinus",Jürgen DREWS,Schlagerstar,Mickie KRAUSE,Schlagerstar,Michael WENDLER,Schlagerstar,Anna Maria ZIMMERMANN,Schlagerstar,Stephanie PALLASCH,Versicherungsexpertin,Thorsten RUDNIK,Bund der Versicherten,Klaus REINDL,Benzinpreisexperte,Dirk MÜLLER,Börsenguru,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.07.2009,,,,29.07.2009,065'08,23:35:40 - 00:40:48," 23:35:40 - 00:40:48 065'08 Interview Markus LANZ mit den Studiogästen Ralf SCHMITZ (Comedian), Dr. Axel JOCKWER (Reiseexperte), Prof. Dr. Klaus KOCKS (Meinungsforscher), Reiner HOLZNAGEL (BGeschF. des Bundes der Steuerzahler Deutschlands), Hans Ulrich JÖRGES (Journalist) und Almuth ISMER (Tierparkchefin) (O-Ton). ",Ralf SCHMITZ,Comedian,Axel JOCKWER,Reiseexperte,Klaus KOCKS,Meinungsforscher,Reiner HOLZNAGEL,BGeschF. des Bundes der Steuerzahler Deutschlands,Hans Ulrich JÖRGES,Journalist,Almuth ISMER,Tierparkchefin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.07.2009,,,,30.07.2009,064'34,23:51:50 - 00:56:24," 23:51:50 - 00:56:24 064'34 Interview Markus LANZ mit den Studiogästen Bastian HEIDHOFF (lebt mit Herzunterstützungssystem und wartet auf Kunstherz), Martin STRÜBER (Arzt), Seymour KUNIGISKIS (lebt mit Spenderherz), Jens HAMMERICH (Lkw-Fahrer und Lebensretter), Marlou HAMMERICH (Ehefrau von Jens Hammerich), Herbert SCHONS (Rechtsanwalt), Katja WINGENFELD (Trauma-Expertin) und Axel HIRTH (Zollfahndungsamt Hamburg) (O-Ton). ",Bastian HEIDHOFF,lebt mit Herzunterstützungssystem und wartet auf Kunstherz,Martin STRÜBER,Arzt,Seymour KUNIGISKIS,lebt mit Spenderherz,Jens HAMMERICH,Lkw-Fahrer und Lebensretter,Marlou HAMMERICH,Ehefrau von Jens Hammerich,Herbert SCHONS,Rechtsanwalt,Katja WINGENFELD,Trauma-Expertin,Axel HIRTH,Zollfahndungsamt Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.08.2009,,,,04.08.2009,075'42,23:17:38 - 00:33:20," 23:17:38 - 00:33:20 075'42 Interview Markus LANZ mit den Studiogästen Ralf SCHUMACHER (ehem. Formel-1 Rennfahrer), Axel SCHULZ (ehem. Profiboxer), Willi WEBER (Manager von Michael Schumacher), Heiko WASSER (Kommentator von Formel-1 Rennen), Horst LICHTER (Fernsehkoch), Ulrich WICKERT (ehem. Moderator), Florian SCHROEDER (Kabarettist), Stefan GRÜLL (ehem. FDP-Abgeordneter), Jörg ADLER (Zoodirektor Münster) und Bärbel UPHOFF (Chefin des Affengeheges) (O-Ton). ",Ralf SCHUMACHER,ehem. Formel-1 Rennfahrer,Axel SCHULZ,ehem. Profiboxer,Willi WEBER,Manager von Michael Schumacher,Heiko WASSER,Kommentator von Formel-1 Rennen,Horst LICHTER,Fernsehkoch,Ulrich WICKERT,ehem. Moderator,Florian SCHROEDER,Kabarettist,Stefan GRÜLL,ehem. FDP-Abgeordneter,Jörg ADLER,Zoodirektor Münster,Bärbel UPHOFF,Chefin des Affengeheges,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.08.2009,,,,05.08.2009,066'05,23:30:54 - 00:36:59," 23:30:54 - 00:36:59 066'05 Interview Markus LANZ mit den Studiogästen Eckard PAHLKE (Vorstandsvorsitzender des Mietervereins zu Hamburg), Daniela DE BASTOS (lebte in baufälliger Wohnung), Nicole STENZEL (leidet unter Schimmel in ihrer Wohnung), Ulrike MARTINI (hat Risse an den Wänden ihrer Wohnung), Thilo BODE (Organisation ""foodwatch e.V.""), Alexander HERRMANN (Fernsehkoch), Jürgen ABRAHAM (Vorsitzende der Bundesvereinigung der Deutschen Ernährungsindustrie) und Andreas KESSLER (Auto-Journalist und ZDF-""WISO""-Werkstattmeister) (O-Ton). ",Eckard PAHLKE,Vorstandsvorsitzender des Mietervereins zu Hamburg,Daniela DE,lebte in baufälliger Wohnung,Nicole STENZEL,leidet unter Schimmel in ihrer Wohnung,Ulrike MARTINI,hat Risse an den Wänden ihrer Wohnung,Thilo BODE,"Organisation ""foodwatch e.V.""",Alexander HERRMANN,Fernsehkoch,Jürgen ABRAHAM,Vorsitzende der Bundesvereinigung der Deutschen Ernährungsindustrie,Andreas KESSLER,"Auto-Journalist und ZDF-""WISO""-Werkstattmeister",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.08.2009,,,,06.08.2009,065'29,23:34:25 - 00:39:54," 23:34:25 - 00:39:54 065'29 Interview Markus LANZ mit den Studiogästen Dr. Thomas KURSCHEID (Allgemeinarzt), Dr. Andreas LINDNER (Facharzt für Kinderheilkunde und Jugendmedizin), Dr. Linn WÖLBER (Gynäkologin), Dr. Christiane BUSCHE (Hautärztin) und Marc HACHMANN (Diplom-Sportlehrer für Rehabilitation) (O-Ton)",Thomas KURSCHEID,Allgemeinarzt,Andreas LINDNER,Facharzt für Kinderheilkunde und Jugendmedizin,Linn WÖLBER,Gynäkologin,Christiane BUSCHE,Hautärztin,Marc HACHMANN,Diplom-Sportlehrer für Rehabilitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.08.2009,,,,11.08.2009,075'51,23:18:21 - 00:34:12," 23:18:21 - 00:34:12 075'51 Interview Markus LANZ mit den Studiogästen Elmar THEVESSEN (ZDF-Terrorismus-Experte), Karl BORN (Reisejournalist), Heiko WASSER (Formel-1 Experte RTL), Horst LICHTER (Fernsehkoch), Roland KAISER (Schlagersänger), Andreas HELLMANN (Lungenarzt), Klaudia SCHULTHEIS, Wolfgang BERGMANN (Kinderpsychologe und Buchautor) und Anette HORCH (alleinerziehende Mutter) (O-Ton). Schaltgespräch LANZ mit Johannes PEIL (Arzt von Michael Schumacher) zum Gesundheitszustand von Michael Schumacher, dem vorhergegangenen Motorradunfall, den Verletzungen durch diesen, die ein Comeback verhindern (O-Ton). Schaltgespräch LANZ mit Sabine Kehm am Telefon zum geplatzten Comeback von Michael Schumacher (O-Ton). Schaltgespräch LANZ mit Ralf Schumacher (Formel-1-Fahrer) am Telefon zum erneuten Rücktritt seines Bruders Michael Schumacher, zu dessen schweren Unfall und dem Heilungsprozess (O-Ton). Schaltgespräch LANZ mit Jürgen DREWS (Schlagerstar) und Thorsten SCHAUBRENNER (ZDF-Reporter) in Mallorca zur Sicherheitslage auf der Urlaubsinsel (O-Ton). ",Elmar THEVESSEN,ZDF-Terrorismus-Experte,Karl BORN,Reisejournalist,Heiko WASSER,Formel-1 Experte RTL,Horst LICHTER,Fernsehkoch,Roland KAISER,Schlagersänger,Andreas HELLMANN,Lungenarzt,Klaudia SCHULTHEIS,Kinderpsychologe und Buchautor,Wolfgang BERGMANN,Kinderpsychologe und Buchautor,Anette HORCH,alleinerziehende Mutter,Schaltgespräch LANZ,Arzt von Michael Schumacher,Johannes PEIL,Arzt von Michael Schumacher,Michael S,O-Ton,Schaltgespräch LANZ,O-Ton,Sabine K,O-Ton,Michael S,O-Ton,Schaltgespräch LANZ,Formel-1-Fahrer,Ralf S,Formel-1-Fahrer,Bruders Michael S,O-Ton,Schaltgespräch LANZ,Schlagerstar,Jürgen DREWS,Schlagerstar,Thorsten SCHAUBRENNER,ZDF-Reporter
 Markus Lanz 12.08.2009,,,,12.08.2009,065'40,23:50:40 - 00:56:20," 23:50:40 - 00:56:20 065'40 Interview Markus LANZ mit Studiogästen Alfons SCHUHBECK (Fernsehkoch), Thomas KURSCHEID (Ernährungsexperte), Monika ZGODDA (Opfer Fahrgeschäft-Unfall), Helmut GELS (Hauptgeschäftsführer des Deutschen Schaustellerbundes), Thomas OBERST (Berliner TÜV), Sven GERLING (Oberbrandmeister Berliner Feuerwehr), SHI XIAO FENG (alias Julian JACOBI, Kampfkunstnovize), SHI HENG ZONG (Abt in Shaolin-Tempel) und Ester JACOBI (Mutter von Shi Xiao Feng) (O-Ton). ",Alfons SCHUHBECK,Fernsehkoch,Thomas KURSCHEID,Ernährungsexperte,Monika ZGODDA,Opfer Fahrgeschäft-Unfall,Helmut GELS,Hauptgeschäftsführer des Deutschen Schaustellerbundes,Thomas OBERST,Berliner TÜV,Sven GERLING,Oberbrandmeister Berliner Feuerwehr,Ester JACOBI,Mutter von Shi Xiao Feng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.08.2009,,,,13.08.2009,065'49,23:20:24 - 00:26:13," 23:20:24 - 00:26:13 065'49 Interview Markus LANZ mit den Studiogästen Christian ULMEN (Schauspieler), Jan WEILER (Autor), Dr. Arnold RETZER (Psychologe und Autor), Jochen BUSSE (Kabarettist und Schauspieler), Reiner CALMUND (ehem. Fußballmanager von Schalke 04) und Mary ROOS (Schlagersängerin) (O-Ton). ",Christian ULMEN,Schauspieler,Jan WEILER,Autor,Arnold RETZER,Psychologe und Autor,Jochen BUSSE,Kabarettist und Schauspieler,Reiner CALMUND,ehem. Fußballmanager von Schalke 04,Mary ROOS,Schlagersängerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.08.2009,,,,18.08.2009,074'55,23:18:43 - 00:33:38," 23:18:43 - 00:33:38 074'55 Interview Markus LANZ mit den Studiogästen Elisabeth STENMANS (Unternehmertochter), Alexandra KAMP (First-Lady-Anwärterin), Werner BALDESSARINI (Stardesigner), Prof. Dr. Jürgen ZULLEY (Schlafforscher), Nancy STAZZONE (Schlafwandlerin), Swantje und Marcus REICHL (Eltern einer Frühgeburt, welches dann durch Komplikationen während der Geburt starb) (O-Ton). ",Elisabeth STENMANS,Unternehmertochter,Alexandra KAMP,First-Lady-Anwärterin,Werner BALDESSARINI,Stardesigner,Jürgen ZULLEY,Schlafforscher,Nancy STAZZONE,Schlafwandlerin,Marcus REICHL,"Eltern einer Frühgeburt, welches dann durch Komplikationen während der Geburt starb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.08.2009,,,,19.08.2009,059'33,22:15:26 - 23:14:59," 22:15:26 - 23:14:59 059'33 Interview Markus LANZ mit den Studiogästen Hape KERKELING alias Horst SCHLÄMMER, Alexandra KAMP (""Verlobte"" von Horst Schlämmer), Ulf POLLE (Simon GOSEJOHANN, Praktikant und Wahlhelfer), Michael SPRENG (Medienberater), Werner BALDESSARINI (Designer), Marcel LOKO (Werbeexperte) und Bernd HEUSINGER (Werbeexperte) (O-Ton). ",Hape KERKELING,"""Verlobte"" von Horst Schlämmer",Horst SCHLÄMMER,"""Verlobte"" von Horst Schlämmer",Alexandra KAMP,"""Verlobte"" von Horst Schlämmer",Ulf POLLE,"Simon GOSEJOHANN, Praktikant und Wahlhelfer",Michael SPRENG,Medienberater,Werner BALDESSARINI,Designer,Marcel LOKO,Werbeexperte,Bernd HEUSINGER,Werbeexperte,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.08.2009,,,,20.08.2009,065'16,00:01:08 - 01:06:24," 00:01:08 - 01:06:24 065'16 Interview Markus LANZ mit den Studiogästen Horst LICHTER (Fernsehkoch), Til SCHWEIGER (Schauspieler), Peter MAFFAY (Sänger), Horst HACK (Freund von Schweiger), Thomas STEIN (Musikproduzent) (O-Ton). ",Horst LICHTER,Fernsehkoch,Til SCHWEIGER,Schauspieler,Peter MAFFAY,Sänger,Horst HACK,Freund von Schweiger,Thomas STEIN,Musikproduzent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.08.2009,,,,25.08.2009,074'58,23:31:11 - 00:46:09," 23:31:11 - 00:46:09 074'58 Interview Markus LANZ mit den Studiogästen Atze SCHRÖDER (Komiker), Matze KNOP (Komiker), Paul PANZER (Komiker), Hannes JAENICKE (Schauspieler), Karl MERK (Landwirt) und Christoph HÖHNKE (Arzt). ",Atze SCHRÖDER,Komiker,Matze KNOP,Komiker,Paul PANZER,Komiker,Hannes JAENICKE,Schauspieler,Karl MERK,Landwirt,Christoph HÖHNKE,Arzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.08.2009,,,,26.08.2009,064'55,23:17:45 - 00:22:40," 23:17:45 - 00:22:40 064'55 Interview Markus LANZ mit den Studiogästen Werner MANG (Schönheitschirurg), Antje STEINER (Neurologin), Friedrich FLOHR (Augenarzt), Stefan MOERS (Zahnarzt) zu Gesundheitsmythen und Schönheitsoperationen (O-Ton). ",Werner MANG,Schönheitschirurg,Antje STEINER,Neurologin,Friedrich FLOHR,Augenarzt,Stefan MOERS,Zahnarzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.08.2009,,,,27.08.2009,065'15,23:32:01 - 00:37:16," 23:32:01 - 00:37:16 065'15 Interview Markus LANZ mit den Studiogästen Johannes RÖHRIG (Journalist), Nina RUGE (Moderatorin), Carsten KLAUER (Detektiv), Inge NIEDEK (Meteorologen) und Christian HÄCKL (Meteorologe), Hans BOES (Wetterbauer), Udo KOPERNIK (Pressesprecher vom Verband für das Deutsche Hundewesen), Martin RÜTTER (Hundepsychologe), Dunja HAYALI (Journalistin) (O-Ton). Studiodarbietung: Verschiedene Hundebesitzer stellen ihre Hund vor. ",Johannes RÖHRIG,Journalist,Nina RUGE,Moderatorin,Carsten KLAUER,Detektiv,Inge NIEDEK,Meteorologen,Christian HÄCKL,Meteorologe,Hans BOES,Wetterbauer,Udo KOPERNIK,Pressesprecher vom Verband für das Deutsche Hundewesen,Martin RÜTTER,Hundepsychologe,Dunja HAYALI,Journalistin,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.10.2009,,,,07.10.2009,065'59,23:20:07 - 00:26:06," 23:20:07 - 00:26:06 065'59 Interview Markus LANZ mit den Studiogästen Heiner BRAND (Handball-Bundestrainer), Dietrich GRÖNEMEYER (Arzt), Daniel MARKWALDER (Wettkönig), Ranga YOGESHWAR (Diplomphysiker) und Florian SCHROEDER (Kabarettist) (O-Ton). ",Heiner BRAND,Handball-Bundestrainer,Dietrich GRÖNEMEYER,Arzt,Daniel MARKWALDER,Wettkönig,Ranga YOGESHWAR,Diplomphysiker,Florian SCHROEDER,Kabarettist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.10.2009,,,,08.10.2009,065'18,23:23:48 - 00:29:06," 23:23:48 - 00:29:06 065'18 Interview Markus LANZ mit den Studiogästen Gundula GAUSE (Moderatorin), Ingo APPELT (Comedian), Hellmuth KARASEK (Literaturkritiker), Hanna MARTIN (Schülerin), Hartmut ENGLER (Sänger), Ingo REIDL (Musiker), Michael ADLER (Nashornrevierleiter aus dem Allwetterzoo in Münster) und Manuela HOFMANN (Tierpfkegerin) (O-Ton). Schaltgespräch LANZ mit Matthias BARTELS (Tierpfleger) in Allwetterzoo Münster zu Nashornbaby (O-Ton). ",Gundula GAUSE,Moderatorin,Ingo APPELT,Comedian,Hellmuth KARASEK,Literaturkritiker,Hanna MARTIN,Schülerin,Hartmut ENGLER,Sänger,Ingo REIDL,Musiker,Michael ADLER,Nashornrevierleiter aus dem Allwetterzoo in Münster,Manuela HOFMANN,Tierpfkegerin,Schaltgespräch LANZ,Tierpfleger,Matthias BARTELS,Tierpfleger,Allwetterzoo M,O-Ton,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.10.2009,,,,14.10.2009,064'14,23:32:53 - 00:37:07," 23:32:53 - 00:37:07 064'14 Interview Markus LANZ mit den Studiogästen Gisela FRIEDRICHSEN (""Spiegel""-Gerichtsreporterin), Rudolf EGG (Rechtspsychologe), Wolfgang BERGMANN (Erziehungswissenschaftler), Wolfgang RASCHER (Vorsitzender des klinischen Ethikkomitee), Johann LECHNER (Zahnarzt) und Leonhard TIPOTSCH (Patient). Schaltgespräch LANZ mit Mahmoud SOLIMAN (Vater) zu seiner Tochter, und der Entbindung seiner im Koma liegenden Frau (O-Ton). ",Gisela FRIEDRICHSEN,"""Spiegel""-Gerichtsreporterin",Rudolf EGG,Rechtspsychologe,Wolfgang BERGMANN,Erziehungswissenschaftler,Wolfgang RASCHER,Vorsitzender des klinischen Ethikkomitee,Johann LECHNER,Zahnarzt,Leonhard TIPOTSCH,Patient,Schaltgespräch LANZ,Vater,Mahmoud SOLIMAN,Vater,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.10.2009,,,,15.10.2009,066'19,23:19:56 - 00:26:15," 23:19:56 - 00:26:15 066'19 Interview Markus LANZ mit den Studiogästen Heide SIMONIS (SPD), Horst KONRADT (Rentner), Marianne LIPPERT (Rentnerin), Andreas ENGLISCH (Vatikan-Experte), Jürgen FIEGE (Pfarrer), Steven MACK (Kletterer), Claas Hinrich LAMMERS (Neurologe) (O-Ton). ",Heide SIMONIS,SPD,Horst KONRADT,Rentner,Marianne LIPPERT,Rentnerin,Andreas ENGLISCH,Vatikan-Experte,Jürgen FIEGE,Pfarrer,Steven MACK,Kletterer,Claas Hinrich LAMMERS,Neurologe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
