Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 21.10.2009,,,,21.10.2009,066'50,23:14:17 - 00:21:07," 23:14:17 - 00:21:07 066'50 Interview Markus LANZ mit den Studiogästen Frank Ulrich MONTGOMERY (Vizevorsitzende der Bundesärztekammer), Karl LAUTERBACH (Harvard-Professor und Gesundheitsexperte), Heiko SCHNEITLER (Leiter des Gesundheitsamtes in Düsseldorf), Jakob CRAMER (Koordinator der Probeimpfungen gegen die Schweinegrippe, Bernhard-Nocht-Institut Hamburg), Harro FÜLLGRABE (Fernsehmoderator), Steffen HENSSLER (Fernsehkoch), Nguyen MANH TAN (Vietnamese, der Spezialitäten seines Landes erläutert), Nino HAASE (gewann drei Millionen Euro bei ""Schlag den Raab""), Vesna VEKIC (gewann bei der ""SKL-Show"" fünf Millionen Euro), Julia ADRIAN (Freundin von Nino Haase) und Marlene GRABHERR (gewann eine Million bei ""Wer wird Millionär"") (O-Ton). ",Frank Ulrich MONTGOMERY,Vizevorsitzende der Bundesärztekammer,Karl LAUTERBACH,Harvard-Professor und Gesundheitsexperte,Heiko SCHNEITLER,Leiter des Gesundheitsamtes in Düsseldorf,Jakob CRAMER,"Koordinator der Probeimpfungen gegen die Schweinegrippe, Bernhard-Nocht-Institut Hamburg",Harro FÜLLGRABE,Fernsehmoderator,Steffen HENSSLER,Fernsehkoch,Nguyen MANH,"Vietnamese, der Spezialitäten seines Landes erläutert",Nino HAASE,"gewann drei Millionen Euro bei ""Schlag den Raab""",Vesna VEKIC,"gewann bei der ""SKL-Show"" fünf Millionen Euro",Julia ADRIAN,Freundin von Nino Haase,Marlene GRABHERR,"gewann eine Million bei ""Wer wird Millionär""",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.10.2009,,,,22.10.2009,066'10,23:21:49 - 00:27:59," 23:21:49 - 00:27:59 066'10 Interview Markus LANZ mit den Studiogästen Jörg HÜBNER (Firmenchef), Günter WALLRAFF (Enthüllungsjournalist), Detlef WENZEL (Vorsitzender der IG-Metall), Wolfgang GRUPP (Unternehmer), Michael ROTH (ehem. Handballer, litt an Prostatakrebs), Ulrich ROTH (ehem. Handballer, litt an Prostatakrebs), Hartwig HULAND (behandelnder Arzt) und Harriet BRUCE-ANNAN (Gründerin Stiftung ""African Angel"") (O-Ton). ",Jörg HÜBNER,Firmenchef,Günter WALLRAFF,Enthüllungsjournalist,Detlef WENZEL,Vorsitzender der IG-Metall,Wolfgang GRUPP,Unternehmer,Michael ROTH,"ehem. Handballer, litt an Prostatakrebs",Ulrich ROTH,"ehem. Handballer, litt an Prostatakrebs",Hartwig HULAND,behandelnder Arzt,Harriet BRUCE-ANNAN,"Gründerin Stiftung ""African Angel""",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.10.2009,69,2,40,28.10.2009,066'20,23:33:47 - 00:40:07," 23:33:47 - 00:40:07 066'20 Interview Markus LANZ mit den Studiogästen Gisela FRIEDRICHSEN (Gerichtsreportern), Hubert GORKA (Rechtsanwalt), Ellen KNOP (Bekannte von Harry Wörz), Rainer HUNOLD (Schauspieler), Harry WIJNVOORD (Moderator), Friedrich SCHORB (Soziologe), Gabriele RÜTEMANN (leidet an Übergewicht), Traude DANIEL (verkaufte ihr Haus im Internet), Renate TRAPP (veranstaltet Hausquiz) und Rudolf TRAPP (veranstaltet Hausquiz) (O-Ton). ",Gisela FRIEDRICHSEN,Gerichtsreportern,Hubert GORKA,Rechtsanwalt,Ellen KNOP,Bekannte von Harry Wörz,Rainer HUNOLD,Schauspieler,Harry WIJNVOORD,Moderator,Friedrich SCHORB,Soziologe,Gabriele RÜTEMANN,leidet an Übergewicht,Traude DANIEL,verkaufte ihr Haus im Internet,Renate TRAPP,veranstaltet Hausquiz,Rudolf TRAPP,veranstaltet Hausquiz,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.10.2009,,,,29.10.2009,066'13,23:20:06 - 00:26:19," 23:20:06 - 00:26:19 066'13 Interview Markus LANZ mit den Studiogästen Hannes JAENICKE (Schauspieler), Stephanie BRENDL (Haitaucherin), Anton ASCHENBRENNER (ehem. Priester), Hans Jochen JASCHKE (Weihbischof), Wiltrud WEBER (bekam ein Kind von einem Priester), David WEBER (Sohn eines Priesters) und Gunter GABRIEL (Sänger) (O-Ton). ",Hannes JAENICKE,Schauspieler,Stephanie BRENDL,Haitaucherin,Anton ASCHENBRENNER,ehem. Priester,Hans Jochen JASCHKE,Weihbischof,Wiltrud WEBER,bekam ein Kind von einem Priester,David WEBER,Sohn eines Priesters,Gunter GABRIEL,Sänger,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.11.2009,,,,04.11.2009,065'18,23:54:04 - 00:59:22," 23:54:04 - 00:59:22 065'18 Interview Markus LANZ mit den Studiogästen Andreas KIELING (Tierfilmer und Naturfilmer), Michael JÜRGS (Journalist), Reiner HASELOFF (Wirtschaftsminister und Arbeitsminister Sachsen-Anhalt), Dana SCHWEIGER (Unternehmerin), Estefania KÜSTER (KÜSTER-PENA) (Moderatorin), Katja KESSLER (Autorin) und Katrin HINRICHS-AUST (Unternehmerin) (O-Ton). ",Andreas KIELING,Tierfilmer und Naturfilmer,Michael JÜRGS,Journalist,Reiner HASELOFF,Wirtschaftsminister und Arbeitsminister Sachsen-Anhalt,Dana SCHWEIGER,Unternehmerin,Estefania KÜSTER,KÜSTER-PENA,Katja KESSLER,Autorin,Katrin HINRICHS-AUST,Unternehmerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.11.2009,,,,05.11.2009,065'23,23:48:32 - 00:53:55," 23:48:32 - 00:53:55 065'23 Interview Markus LANZ mit den Studiogästen Dieter NUHR (Comedian), Klaus Jürgen DEUSER (Comedian), Steffen MÖLLER (Autor), Waldemar HARTMANN (Sportmoderator), Chris DANNENBERG (Frührentnerin), Janice PINNOW (litt am Messie-Syndrom), Christa MIDDENDORF (Therapeutin), Thomas OTTLEWSKI (Arzt), Andrea KNAAK (Mutter), Michael ADAMZIK (Arzt) und Andreas PLETTENBERG (Leiter des Hamburger Infektiologie-Institutes ""Ifi""(. (O-Ton). ",Dieter NUHR,Comedian,Klaus Jürgen DEUSER,Comedian,Steffen MÖLLER,Autor,Waldemar HARTMANN,Sportmoderator,Chris DANNENBERG,Frührentnerin,Janice PINNOW,litt am Messie-Syndrom,Christa MIDDENDORF,Therapeutin,Thomas OTTLEWSKI,Arzt,Andrea KNAAK,Mutter,Michael ADAMZIK,Arzt,Andreas PLETTENBERG,O-Ton,Hamburger I,O-Ton,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.11.2009,,,,11.11.2009,065'45,23:28:23 - 00:34:08," 23:28:23 - 00:34:08 065'45 Interview Markus LANZ mit den Studiogästen Matthias R LEMKE (Chefarzt Abteilung Psychiatrie am evangelischen Krankenhaus Alsterdorf), Holger REINERS (Autor, litt unter Depressionen), Beate HERBIG (Ehefrau von Holger Reiners), Günter Peter PLOOG (Sportmoderator), Atze SCHRÖDER (Komödiant), Mike KRÜGER (Komödiant), Paul PANZER (Komödiant), Oliver SPIECKER (Autor), Oliver MEYER-WALTERS (Plastischer und Ästhetischer Chirurg) (O-Ton). ",Matthias R LEMKE,Chefarzt Abteilung Psychiatrie am evangelischen Krankenhaus Alsterdorf,Holger REINERS,"Autor, litt unter Depressionen",Beate HERBIG,Ehefrau von Holger Reiners,Günter Peter PLOOG,Sportmoderator,Atze SCHRÖDER,Komödiant,Mike KRÜGER,Komödiant,Paul PANZER,Komödiant,Oliver SPIECKER,Autor,Oliver MEYER-WALTERS,Plastischer und Ästhetischer Chirurg,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.11.2009,,,,12.11.2009,065'49,23:22:49 - 00:28:38," 23:22:49 - 00:28:38 065'49 Interview Markus LANZ mit den Studiogästen Andre AGASSI (ehem. Tennisprofi), Michael STICH (ehem. Tennisprofi), David GARRETT (Geigenvirtuose), Angela KREUZBERG (Mieterin einer Schimmelwohnung) und Sohn Manuel Kai KREUZBERG sowie Dr. Eckard PAHLKE (Vorsitzender des Mietervereins zu Hamburg) (O-Ton)",Andre AGASSI,ehem. Tennisprofi,Michael STICH,ehem. Tennisprofi,David GARRETT,Geigenvirtuose,Angela KREUZBERG,Mieterin einer Schimmelwohnung,Sohn Manuel Kai KREUZBERG,Vorsitzender des Mietervereins zu Hamburg,Eckard PAHLKE,Vorsitzender des Mietervereins zu Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.11.2009,,,,19.11.2009,040'45,23:19:14 - 23:59:59," 23:19:14 - 23:59:59 040'45 Interview Markus LANZ mit den Studiogästen Jörg PILAWA (Moderator), Dirk STEFFENS (Moderator), Thomas GRUNDMANN (Arzt, leidet an Lähmung von Brust an) und Svenja GRUNDMANN (Tochter) (O-Ton). PILAWA wird in Studio einem Allgemeinwissenstest unterzogen. 23:59:59 - 00:24:30 024'31 Interview Markus LANZ mit den Studiogästen Jörg PILAWA (Moderator), Dirk STEFFENS (Moderator), Thomas GRUNDMANN (Arzt, leidet an Querschnittslähmung) und Svenja GRUNDMANN (Tochter) (O-Ton). PILAWA und STEFFENS bei Allgemeinwissenstest in Studio. ",Jörg PILAWA,Moderator,Dirk STEFFENS,Moderator,Thomas GRUNDMANN,"Arzt, leidet an Lähmung von Brust an",Svenja GRUNDMANN,Tochter,Interview Markus LANZ,Moderator,Studiogästen Jörg PILAWA,Moderator,Dirk STEFFENS,Moderator,Thomas GRUNDMANN,"Arzt, leidet an Querschnittslähmung",Svenja GRUNDMANN,Tochter,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.11.2009,,,,25.11.2009,064'06,23:30:47 - 00:34:53," 23:30:47 - 00:34:53 064'06 Interview Markus LANZ mit den Studiogästen Hellmuth KARASEK (Schriftsteller und Kritiker), Laura KARASEK (Tochter von Hellmuth Karasek), Hilly MARTINEK (Drehbuchautorin), Gunter GABRIEL (Musiker), Dr. Arnold RETZER (Paartherapeut), Alfons SCHUHBECK (Starkoch), Dr. Volker HACH (Tierarzt), Madeleine AHL (Hundebesitzerin) mit Hund Sugar und Jutta HOLNBURGER (Hundebesitzerin) mit Hund Frodo (O-Ton). ",Hellmuth KARASEK,Schriftsteller und Kritiker,Laura KARASEK,Tochter von Hellmuth Karasek,Hilly MARTINEK,Drehbuchautorin,Gunter GABRIEL,Musiker,Arnold RETZER,Paartherapeut,Alfons SCHUHBECK,Starkoch,Volker HACH,Tierarzt,Madeleine AHL,Hundebesitzerin,Hund S,Hundebesitzerin,Jutta HOLNBURGER,Hundebesitzerin,Hund F,O-Ton,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.11.2009,,,,26.11.2009,058'50,00:17:10 - 01:16:00," 00:17:10 - 01:16:00 058'50 Interview Markus LANZ mit den Studiogästen SASHA (Sänger), Pia Marie ODPARLIK (wurde Mutter mit 15 Jahren) und Paul ODPARLIK (wurde Vater mit 15 Jahren) mit ihren Kindern Lea, Mia und Noa (O-Ton)",Pia Marie ODPARLIK,wurde Mutter mit 15 Jahren,Paul ODPARLIK,wurde Vater mit 15 Jahren,Kindern L,O-Ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.12.2009,,,,02.12.2009,066'14,23:42:47 - 00:49:01," 23:42:47 - 00:49:01 066'14 Interview Markus LANZ mit den Studiogästen Guido KNOPP (Historiker), Jan Josef LIEFERS (Schauspieler), Lisa MARTINEK (Schauspielerin), Almut NIEMEYER (infizierte sich mit dem HIV-Virus), Heinz Dieter NIEMEYER (infizierte sich mit dem HIV-Virus), Andreas PLETTENBERG (Leiter des Hamburger Infektiologie-Institutes ""Ifi""), Rainer WENDT (Vorsitzende der Deutschen Polizeigewerkschaft), Rainer DIETZ (Anwalt von Michael Heckhoff) und Ines FALK (Geisel beim Geiseldrama von Gladbeck) (O-Ton). MARTINEK und LIEFERS machen im Studio einen Test zur deutschen Geschichte. ",Guido KNOPP,Historiker,Jan Josef LIEFERS,Schauspieler,Lisa MARTINEK,Schauspielerin,Almut NIEMEYER,infizierte sich mit dem HIV-Virus,Heinz Dieter NIEMEYER,infizierte sich mit dem HIV-Virus,Andreas PLETTENBERG,"Leiter des Hamburger Infektiologie-Institutes ""Ifi""",Rainer WENDT,Vorsitzende der Deutschen Polizeigewerkschaft,Rainer DIETZ,Anwalt von Michael Heckhoff,Ines FALK,Geisel beim Geiseldrama von Gladbeck,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.12.2009,,,,03.12.2009,065'21,23:20:39 - 00:26:00," 23:20:39 - 00:26:00 065'21 Interview Markus LANZ mit den Studiogästen Karen HEUMANN (Vorstand der Werbeagentur Jung von Matt) und Kim FISHER (Autorin und Moderatorin), Eckart VON HIRSCHHAUSEN (Comedian), Manfred LÜTZ (Psychiater, Autor), Erna BREITSPRECHER (heiratete mit 97Jahren) und Otto PUNZEL (heiratete mit 100 Jahren) (O-Ton). ",Karen HEUMANN,Vorstand der Werbeagentur Jung von Matt,Kim FISHER,Autorin und Moderatorin,Eckart VON,Comedian,Manfred LÜTZ,"Psychiater, Autor",Erna BREITSPRECHER,heiratete mit 97Jahren,Otto PUNZEL,heiratete mit 100 Jahren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.12.2009,,,,09.12.2009,066'26,23:47:51 - 00:54:17," 23:47:51 - 00:54:17 066'26 Interview Markus LANZ mit den Studiogästen Oliver KAHN (ehem. Torwart), Katrin MÜLLER-HOHENSTEIN (Sportmoderatorin), YIN DEPEI (Nachwuchstorwart aus Qingdao), Arved FUCHS (Abenteurer, Buchautor), Norbert ROSING (Fotograf), Tanja BLÜMEL (Opfer von gefälschtem Medikament), Wolfgang SCHMITZ (Zollbeamter) und Lutz ENGELEN (Vizepräsident der Bundesapothekerkammer) (O-Ton). ",Oliver KAHN,ehem. Torwart,Katrin MÜLLER-HOHENSTEIN,Sportmoderatorin,Arved FUCHS,"Abenteurer, Buchautor",Norbert ROSING,Fotograf,Tanja BLÜMEL,Opfer von gefälschtem Medikament,Wolfgang SCHMITZ,Zollbeamter,Lutz ENGELEN,Vizepräsident der Bundesapothekerkammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.12.2009,,,,10.12.2009,067'20,23:37:39 - 00:44:59," 23:37:39 - 00:44:59 067'20 Interview Markus LANZ mit den Studiogästen Til SCHWEIGER (Schauspieler), Nora TSCHIRNER (Schauspielerin), Matthias SCHWEIGHÖFER (Schauspieler), Ken DUKEN (Schauspieler), Horst ZAUNEGGER (kämpft für Sorgerecht für seine Tochter), Douglas WOLFSPERGER (Regisseur), Barbara ROTH (ist gegen gemeinsames Sorgerecht) und Florian SCHROEDER (Kabarettist) (O-Ton). ZAUNEGGER schaut sich Gerichtsurteil an. STETAMENT ZAUNEGGER ",Til SCHWEIGER,Schauspieler,Nora TSCHIRNER,Schauspielerin,Matthias SCHWEIGHÖFER,Schauspieler,Ken DUKEN,Schauspieler,Horst ZAUNEGGER,kämpft für Sorgerecht für seine Tochter,Douglas WOLFSPERGER,Regisseur,Barbara ROTH,ist gegen gemeinsames Sorgerecht,Florian SCHROEDER,Kabarettist,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.12.2009,,,,16.12.2009,066'27,23:17:49 - 00:24:16," 23:17:49 - 00:24:16 066'27 Interview Markus LANZ mit den Studiogästen Veronica FERRES (Schauspielerin), Alicia VON RITTBERG (Schauspielerin), Karsten BRENSING (Meeresbiologe), Thorsten HAVENER (Gedankenleser), Armin ROHDE (Schauspieler), Frederik BRAUN (Betreiber Miniatur-Wunderland in Hamburg), Gerrit BRAUN (Betreiber Miniatur-Wunderland in Hamburg) und Jürgen SELINGER (Wettkandidat) (O-Ton). ",Veronica FERRES,Schauspielerin,Alicia VON,Schauspielerin,Karsten BRENSING,Meeresbiologe,Thorsten HAVENER,Gedankenleser,Armin ROHDE,Schauspieler,Frederik BRAUN,Betreiber Miniatur-Wunderland in Hamburg,Gerrit BRAUN,Betreiber Miniatur-Wunderland in Hamburg,Jürgen SELINGER,Wettkandidat,,,,,,,,,,,,,,,,,,,,,,,,,,
