Sendungstitel,season,Staffel,Folge,FolgenNr,Publikationsdatum,Dauer,Infos,Gast_1,Gast_2,Gast_3,Gast_4,Gast_5,Gast_6,Gast_7,Gast_8,Gast_9,Gast_10,Gast_11,Gast_12,Gast_13,Gast_14,Gast_15,Gast_16,Gast_17,Gast_18,Gast_19,Gast_20,Gast_21,instance_of,part_of_series,genre,presenter,original_broadcaster,country_of_origin,original_language_of_film_or_TV_show
Markus Lanz 19.05.2016,"Markus Lanz, Staffel 9",9,57,871,19.05.2016,075'26,"23:18:03 - 00:33:29 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Dr. Theo WAIGEL (Politiker, CSU), Nina PETRI (Schauspielerin), Ingmar STADELMANN (Comedian), Hans MAHR (Journalist) und Dr. Alexander STEVENS (Rechtsanwalt) über die Schwerpunktthemen: der Präsidentschaftswahlkampf in Österreich; die aktuellen und historischen Spannungen zwischen CDU und CSU; das neue Programm ""#humorphob"" von Ingnar Stadelmann; islamistischer Terror, AfD und Nationalsozialismus als Themen für Comedy und Satire; die Karriere der Schauspielerin Nina Petri und die schwierigen Arbeitsbedingungen für Schauspieler in Deutschland; das Sexualstrafrecht in Deutschland.",Theo WAIGEL,Nina PETRI,Ingmar STADELMANN,Hans MAHR,Alexander STEVENS,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 24.05.2016,"Markus Lanz, Staffel 9",9,58,872,24.05.2016,073'54,"23:35:29 - 00:49:23 073'54 O-Ton Interview Markus LANZ mit den Studiogästen Werner SCHNEYDER (Kabarettist), Prof. Thomas KLICHE (Politologe, Psychologe), Jörg QUOOS (Journalist), Silke NAUN-BATES (Motivationstrainerin), Pascal BATES (Hotelfachmann), Dr. Johannes WIMMER (Arzt, Autor) über die Schwerpunktthemen: Wahl zum Bundespräsidenten in Österreich; Bedeutung von FPÖ in Österreich und AfD in Deutschland; Gründe für Rechtsruck und Rechtsextremismus in Deutschland und Österreich; Fehler der etablierten Parteien in der Vergangenheit und ihr Umgang damit für die Zukunft; Bedeutung der Haut - was man aus ihr lesen und wie man sie schützen kann; Leben von Silke Naun-Bates, der als Kind beide Beine amputiert wurden",Werner SCHNEYDER,Thomas KLICHE,Jörg QUOOS,Silke NAUN-BATES,Pascal BATES,Johannes WIMMER,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 25.05.2016,"Markus Lanz, Staffel 9",9,59,873,25.05.2016,075'35,"23:14:25 - 00:30:00 075'35 O-Ton Interview Markus LANZ mit den Studiogästen Andre SCHULZ (Kriminalhauptkommissar, Bundesvorsitzender beim Bund Deutscher Kriminalbeamter), Theo JOST (Einbruchsopfer, Gastronom), Angelo KELLY (Musiker), Laura TONKE (Schauspielerin), Tommy KRAPPWEIS (Komiker, Autor), Werner KRAPPWEIS (Rentner) über die Schwerpunktthemen: Gründe für den drastischen Anstieg von Einbrüchen in Deutschland; Arbeitsbedingungen der Polizei in Deutschland; Engagement von privaten Wachdiensten durch Menschen, die sich durch Polizei nicht hinreichend geschützt fühlen; Karriere von Angelo Kelly als Musiker; die große Bedeutung seiner Ursprungs- und jetzigen Familie; Kindheit und Karriere von Laura Tonke; ihre Nominierung für den Deutschen Filmpreis; Kindheit von Tommy Krappweis mit seinem sportbegeisterten Vater Werner Krappweis; ihr Vater-Sohn-Verhöltnis und ihr gemeinsames Buch ""Sportlerkind"".",Andre SCHULZ,Theo JOST,Angelo KELLY,Laura TONKE,Tommy KRAPPWEIS,Werner KRAPPWEIS,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 26.05.2016,"Markus Lanz, Staffel 9",9,60,874,26.05.2016,075'34,"23:22:52 - 00:38:26 075'34 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Adolf GALLWITZ (Polizei-Psychologe), Heike BORUFKA (Gerichtsreporterin), Max GIESINGER (Musiker), Elena CARRIERE (Model), Mathieu CARRIERE (Schauspieler), Gunther HOLTORF (Abenteurer) über die Schwerpunktthemen: der mutmaßliche Serienmörder Manfred Seel, dessen psychische Struktur und der aktuelle Stand der Ermittlungen; Erfolg von Elena Carriere bei der Castingshow ""Germanys Next Topmodel"" (zweiter Platz); die Sicht von Mathieu Carriere auf seine Tochter; seine Rolle im Zusammenleben mit ihr und Freunden; Biografie und Karriere von Max Giesinger; sein Erfolg mit dem Hit ""80 Millionen""; die Reisen von Gunther Holtorf.",Adolf GALLWITZ,Heike BORUFKA,Max GIESINGER,Elena CARRIERE,Mathieu CARRIERE,Gunther HOLTORF,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 31.05.2016,"Markus Lanz, Staffel 9",9,61,875,31.05.2016,075'12,"22:46:26 - 00:01:38 075'12 O-Ton Interview Markus LANZ mit den Studiogästen Tamme HANKEN (Tierchiropraktiker), Karlheinz LIERHEIMER (Landwirt), Hera LIND (Schriftstellerin), ZOLA (Krankenschwester), Elisa CHIRINO (ehemalige Turnerin) über die Schwerpunktthemen: Entwicklung und Industrialisierung in der Landwirtschaft; schlechte Ertragslage der Bauern bei der Milchproduktion; Gründe für den niedrigen Milchpreis; Kaufverhalten der Verbraucher in Bezug auf Lebensmittel; Erlebnisse von Tamme Hanke während seiner Arbeit als Tierchiropraktiker; der neue Roman ""Kuckucksnest"" von Hera Lind, in dem es um die Adoptionen von zehn Kindern durch die Zwillingsschwestern Senta Prinz und Sonja Wegener geht; Geschichte von Zola aus Ghana, die im Alter von 14 Jahren von Sonja Wegener adoptiert wurde; Geschichte der ehemaligen Turnerin Elisa Chirino, die seit einem Trainingsunfall querschnittsgelähmt ist.",Tamme HANKEN,Karlheinz LIERHEIMER,Hera LIND,Elisa CHIRINO,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 01.06.2016,"Markus Lanz, Staffel 9",9,62,876,01.06.2016,075'03,"23:16:41 - 00:31:44 075'03 O-Ton Interview Markus LANZ mit den Studiogästen Patrick OWOMOYELA (ehem. Fußballprofi, Moderator), Wolfram EILENBERGER (Philosoph, Journalist), Rainer Maria SCHIEßLER (katholischer Pfarrer), Alfons SCHUHBECK (Koch, Freund von Schießler), Beatrice EGLI (Sängerin) und Carsten STORMER (Kriegsreporter) über die Schwerpunktthemen: die Äußerung von Alexander Gauland von der AfD, niemand wolle Jerome Boateng neben sich wohnen haben, und Rassismus in Deutschland und im Sport; die Art, mit der Schießler seiner Gemeinde die katholische Kirche nahebringt; die bisherige Karriere von Beatrice Egli; der Krieg in Syrien.",Patrick OWOMOYELA,Wolfram EILENBERGER,Rainer Maria SCHIEßLER,Alfons SCHUHBECK,Beatrice EGLI,Carsten STORMER,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 02.06.2016,"Markus Lanz, Staffel 9",9,63,877,02.06.2016,075'26,"23:31:41 - 00:47:07 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Dr. Peter TAUBER (Politiker), Wotan Wilke MÖHRING (Schauspieler), Serdar SOMUNCU (Kabarettist), Silvia FURTWÄNGLER (Hundezüchterin, Schlittenhundführerin) und Uwe RITZER (Journalist) über die Schwerpunktthemen: Kontroversen zwischen CDU und CSU; Rolle von Peter Tauber als Generalsekretär der CDU; Aussagen von Politikern in der Öffentlichkeit - Diplomatie versus Klarheit; Biografie von Wotan Wilke Möhring; seine Rolle als Frau im Film ""Seitenwechsel""; Gefahren für die Demokratie durch Lobbyismus; Ausmaß des Lobbyismus in Deutschland; das Leben von Silvia Furtwängler als Hundezüchterin und Hundeschlittenführerin in Norwegen.",Peter TAUBER,Wotan Wilke MÖHRING,Serdar SOMUNCU,Silvia FURTWÄNGLER,Uwe RITZER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 07.06.2016,"Markus Lanz, Staffel 9",9,64,878,07.06.2016,075'13,"23:11:41 - 00:26:54 075'13 O-Ton Interview Markus LANZ mit den Studiogästen Gunther TIERSCH (ZDF-Meteorologe), Volker LECHTENBRINK (Schauspieler) mit Gül LECHTENBRINK (Heilpraktikerin), Lena BRÖDER (Miss Germany 2016, Lehramtsreferendarin für katholische Religion), Florian KOLF (Journalist) über die Schwerpunktthemen: das aktuelle Wetterchaos; das Zusammenfinden von Volker Lechtenbrink und Gül Lechtenbrink; das Leben von Bröder zwischen Misswahlen und Religionsunterricht; die hinter dem Aldi-Konzern stehende Familie Albrecht.",Gunther TIERSCH,Volker LECHTENBRINK,Gül LECHTENBRINK,Lena BRÖDER,Florian KOLF,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 08.06.2016,"Markus Lanz, Staffel 9",9,65,879,08.06.2016,075'28,"23:18:21 - 00:33:49 075'28 O-Ton Interview Markus LANZ mit den Studiogästen Claus KLEBER (Journalist, Moderator), Markus FELDENKIRCHEN (Journalist), Nadja ATWAL (Unternehmerin, Model), Rosi GOLLMANN (Entwicklungshelferin) und Victoria SWAROVSKI (Sängerin) über die Schwerpunktthemen: die Einordnung von Aussagen von Donald Trump im Präsidentschaftswahlkampf in den USA, der Umgang von Donald Trump mit kritischen Journalisten und Demonstranten, die Stimmung auf seinen Wahlkampfveranstaltungen, die Gründe von Nadja Atwal, Trump zu unterstützen; die Entwicklung von Zukunftstechnologien im Silicon Valley und die Dokumentation ""Schöne neue Welt - Wie Silicon Valley unsere Zukunft bestimmt"" von Claus Kleber und Angela Andersen; die Biografie und Karriere der Sängerin Victoria Swarovski und ihr Sieg bei der Tanzshow ""Lets Dance""; das Engagement von Rosi Gollmann als Entwicklungshelferin für die Rechte von Mädchen in Indien und für Kinder weltweit.",Claus KLEBER,Markus FELDENKIRCHEN,Nadja ATWAL,Rosi GOLLMANN,Victoria SWAROVSKI,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 09.06.2016,"Markus Lanz, Staffel 9",9,66,880,09.06.2016,074'14,"23:17:40 - 00:31:54 074'14 O-Ton Interview Markus LANZ mit den Studiogästen Andreas SCHEUER (Politiker, CSU-Generalsekretär), Michael SPRENG (Journalist), Holger OSIECK (Ex-Fußballtrainer), DEENA (Sängerin) und Markus STOLL alias ""Harry G"" (Comedian) über die Schwerpunktthemen: aktuelle Konflikte zwischen CDU und CSU, zwischen Angela Merkel und Horst Seehofer; Sichtweise der CSU auf Umfrageergebnisse von Forsa für die Zeitschrift ""stern""; Rückblick auf die deutsche Nationalmannschaft im Jahr 1990 durch deren damaligen Trainer Holger Osieck; Karriereweg von Markus Stoll und sein Blick als Comedian ""Harry G"" auf die Münchener Gesellschaft; Erfolg der deutschen Sängerin Deena in Unganda mit Popsongs in den Sprachen Suaheli und Luganda.",Andreas SCHEUER,Michael SPRENG,Holger OSIECK,Markus STOLL,Harry G,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 14.06.2016,"Markus Lanz, Staffel 9",9,67,881,14.06.2016,074'18,"23:32:21 - 00:46:39 074'18 O-Ton Interview Markus LANZ mit den Studiogästen Hansi MÜLLER (ehem. Fußballprofi), Heribert FAßBENDER (Sportjournalist), Reiner CALMUND (ehem. Fußballmanager), Avelina BOATENG (Tänzerin), David ODONKOR (ehem. Fußballprofi) und Marcel REIF (Sportjournalist) über die Schwerpunktthemen: Fußball EM 2016 in Frankreich; Einschätzung der deutschen Nationalmannschaft und anderer Mannschaften nach dem bisherigen Turnierverlauf; Stellenwert von Bastian Schweinsteiger für die Nationalmannschaft nach seiner langen Verletzungspause; Rückblick auf auf frühere Europameisterschaften und Weltmeisterschaften mit Hansi Müller und David Odonkor; Umgang mit den rassistischen Äußerungen von Alexander Gauland gegen Jerome Boateng in der Familie Boateng; Verhältnis von Avelina Boateng zu ihrem Bruder Jerome Boateng; ihre Karriere als Tänzerin.",Hansi MÜLLER,Heribert FAßBENDER,Reiner CALMUND,Avelina BOATENG,David ODONKOR,Marcel REIF,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 15.06.2016,"Markus Lanz, Staffel 9",9,68,882,15.06.2016,075'26,"23:31:33 - 00:46:59 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Morten HARKET (Sänger ""a-ha""), Janni HÖNSCHEID (Surferin, Model), Stefan KUNTZ (Ex-Fußballprofi), Oliver POCHER (Comedian, Moderator), Olaf SUNDERMEYER (Journalist, Autor) und Heribert BRUCHHAGEN (Fußballfunktionär) über die Schwerpunktthemen: Hooligan-Krawalle bei der Fußball EM in Frankreich, insbesondere zwischen russischen und englischen Hooligans in Marseille; Hintergrund der Hooliganszene, Motivation und Vorgehensweise der Hooligans; Versagen der französischen Polizei; Erinnerungen von Stefan Kuntz an die Fußball EM 1996 in England; Karriere von Heribert Bruchhagen als Spieler, Trainer und Funktionär; Morten Harket über seinen Erfolg als Popstar mit ""a-ha"", Mobbing in der Opferrolle in seiner Kindheit und Parallelen zwischen beiden Erfahrungen; Janni Hönscheid über ihre Reisen um die Welt als Surferin und Model.",Morten HARKET,Janni HÖNSCHEID,Stefan KUNTZ,Oliver POCHER,Olaf SUNDERMEYER,Heribert BRUCHHAGEN,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 16.06.2016,"Markus Lanz, Staffel 9",9,69,883,16.06.2016,071'39,"23:46:14 - 00:57:53 071'39 O-Ton Interview Markus LANZ mit den Studiogästen Stefan EFFENBERG (ehem. Fußballprofi), Waldemar HARTMANN (Moderator), Magdalena BRZESKA (Ex-Turnerin), Neven SUBOTIC (Fußballprofi) und Bernard DIETZ (ehem. Fußballprofi) über die Schwerpunktthemen: Leistung der deutschen Nationalmannschaft im EM Vorrundenspiel gegen Polen; Kritik von Jerome Boateng an der Offensivleistung der Mannschaft; Stinkefinger-Affäre von Stefan Effenberg während der WM 1994 und die Rolle von Waldemar Hartmann; Gewinn der EM 1980 in Italien mit Bernard Dietz als Kapitän; Entwicklungen und einschneidende Veränderungen im Bundesliga-Fußball in den letzten Jahrzehnten; Teilnahme von Noemi Peschel (Tocher von Magdalena Brzeska) an den Junioren EM in der Rhythmischen Sportgymnastik; Hilfsprojekt zur Wasserversorgung in Äthiopien durch die Stiftung von Neven Subotic und seine Erfahrungen vor Ort.",Stefan EFFENBERG,Waldemar HARTMANN,Magdalena BRZESKA,Neven SUBOTIC,Bernard DIETZ,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 21.06.2016,"Markus Lanz, Staffel 9",9,70,884,21.06.2016,074'58,"23:26:19 - 00:41:17 074'58 O-Ton Interview Markus LANZ mit den Studiogästen Alex KRISTAN (Komiker, Parodist), Claudia NEUMANN (Sportreporterin), Simon ROLFES (ehem. Fußballprofi), Horst KÖPPEL (ehem. Fußballprofi), Fritz VON THURN UND TAXIS (Journalist), Jörg THADEUSZ (Moderator, Journalist) über die Schwerpunktthemen: die Fußball EM 2016 in Frankreich; das Spiel Nordirland - Deutschland; die Nationalmannschaften und ihre Starspieler; das Kommentieren von Fußballspielen durch Claudia Neumann; die Reaktionen in den sozialen Netzwerken; die Beziehungen zwischen Sportlern und Journalisten; die Erinnerungen von Köppel an seine Zeit als Trainer von Borussia Dortmund und der Nationalmannschaft; die Karriere von Rolfes nach der Zeit als Fußballprofi; die Leidenschaft von Thadeusz für Borussia Dortmund; das Parodieren von Sportlern.",Alex KRISTAN,Claudia NEUMANN,Simon ROLFES,Horst KÖPPEL,Fritz VON,Jörg THADEUSZ,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 23.06.2016,"Markus Lanz, Staffel 9",9,71,885,23.06.2016,076'23,"23:14:28 - 00:30:51 076'23 O-Ton Interview Markus LANZ mit den Studiogästen Heiner BREMER (Journalist, Moderator), Tony PATERSON (Auslandskorrespondent) , Nikolaus DOLL (Wirtschaftsjournalist), Dietmar HAMANN (Ex-Fußballprofi), Prof. Randolf MENZEL (Zoologe, Neurobiologe) über die Schwerpunktthemen: Referendum über die Mitgliedschaft von Großbritannien in der EU; politische und wirtschaftliche Folgen eines möglichen ""Brexit"" für Großbritannien und für die EU; Berichterstattung der britischen Medien in Bezug auf das Referendum; Entwicklung der Qualität des Journalismus in Deutschland; Gründe für den Erfolg von kleinen Nationen wie Island und Nordirland bei der Fußball EM in Frankreich; Intelligenz der Bienen am Beispiel ihrer Orientierungsfähigkeit im Raum und ihrer Kommunikationsweise.",Heiner BREMER,Tony PATERSON,Nikolaus DOLL,Dietmar HAMANN,Randolf MENZEL,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 28.06.2016,"Markus Lanz, Staffel 9",9,72,886,28.06.2016,075'39,"23:14:44 - 00:30:23 075'39 O-Ton Interview Markus LANZ mit den Studiogästen Jörg WONTORRA (Moderator), Mario BASLER (Ex-Fußballprofi), Rainer BONHOF (Ex-Fußballprofi), Prof. Ulrike GUEROT (Publizistin, Politikwissenschaftlerin), Christian SCHULTE-LOH (Komiker), Anitra EGGLER (Digital-Therapeutin) über die Schwerpunktthemen: Sieg von Island gegen England im Achtelfinale der Fußball EM; Gründe für die schwache Leistung der englischen Nationalmannschaft; Referendum in Großbritannien über die Mitgliedschaft in der EU; ökonomische, politische und gesellschaftlich Folgen vom Brexit für Großbritannien und die EU; Problematik von Referenden als Mittel direkter Demokratie; Entwicklung, Nutzung und Einfluss von digitalen Medien; Karrieren von Mario Basler und Rainer Bonhof.",Jörg WONTORRA,Mario BASLER,Rainer BONHOF,Ulrike GUEROT,Christian SCHULTE-LOH,Anitra EGGLER,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 29.06.2016,"Markus Lanz, Staffel 9",9,73,887,29.06.2016,076'29,"23:51:51 - 01:08:20 076'29 O-Ton Interview Markus LANZ mit den Studiogästen Nicolas HENIN (Journalist), Thorsten LEGAT (ehem. Fußballprofi), Knut KIRCHER (ehemaliger Schiedsrichter), Prof. Max OTTE (Ökonom, Fondsmanager) und Rolf SEELMANN-EGGEBERT (Journalist) über die Schwerpunktthemen: Terroranschlag auf dem Flughafen in Istanbul; Strategien der Terrororganisation Islamischer Staat (IS); Karriere von Fußball Bundesliga Schiedsrichter Knut Kircher; Dokumentation seiner Arbeit anhand von Live-Ton-Aufnahmen 2014; Karriere des ehemaligen Fußballprofi Thorsten Legat; sein Verhältnis zu seinen ehemaligen Trainern Joachim Löw und Otto Rehhagel; politische und ökonomische Folgen des Brexit für Großbritannien, für Kontinentaleuropa und für die EU.",Nicolas HENIN,Thorsten LEGAT,Knut KIRCHER,Max OTTE,Rolf SEELMANN-EGGEBERT,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 30.06.2016,"Markus Lanz, Staffel 9",9,74,888,30.06.2016,070'31,"23:43:59 - 00:54:30 070'31 O-Ton Interview Markus LANZ mit den Studiogästen Gisela FRIEDRICHSEN (Gerichtsreporterin), Sepp MAIER (ehem. Torhüter), Giovanni ZARRELLA (Sänger, Moderator), Vince EBERT (Physiker, Kabarettist), Kati VAN DER WEERD und Rike VAN DER WEERD (Tierheilpraktikerinnen) über die Schwerpunktthemen: Niels Högel, der als Krankenpfleger mehrere Morde beging, und dessen Gerichtsprozess; das bevorstehende Spiel Deutschland gegen Italien; das aktuelle Buch ""Unberechenbar"" von Vince Ebert; Kati van der Weerd und Rike van der Weerd und ihre gemeinsame Arbeit als Tierheilpraktikerinnen.",Gisela FRIEDRICHSEN,Sepp MAIER,Giovanni ZARRELLA,Vince EBERT,Kati VAN,Rike VAN,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 05.07.2016,"Markus Lanz, Staffel 9",9,75,889,05.07.2016,059'58,"10:00:00 - 10:59:58 059'58 O-Ton Interview Markus LANZ mit den Studiogästen Trond BLATTMANN (Vater von Torjus Blattmann, eines der Opfer des Anschlags von Utöya), Günther Maria HALMER (Schauspieler) und dessen Ehefrau Claudia HALMER und Florian WALBERG (ehem. Musiker, Unternehmer) über die Schwerpunktthemen: die Anschläge in Oslo und auf Utöya im Juli 2011; die langjährige glückliche Ehe von Günther Maria Halmer und Claudia Halmer und ihre nicht immer einfache Beziehung zu Regisseur Helmut Dietl; Florian Walberg, der nach seiner Zeit in der Boyband ""Bed & Breakfast"" eine Karriere als Unternehmer eingeschlagen hat.",Trond BLATTMANN,Günther Maria HALMER,Ehefrau Claudia HALMER,Florian WALBERG,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 06.07.2016,"Markus Lanz, Staffel 9",9,76,890,06.07.2016,074'46,"10:00:00 - 11:14:46 074'46 O-Ton Interview Markus LANZ mit den Studiogästen Dagmar BERGHOFF (Moderatorin), Eva-Maria LEMKE (Moderatorin), Jürgen BECKER (Kabarettist), Rita FALK (Autorin) und Rafael FUCHSGRUBER (Extremläufer) über die Schwerpunktthemen: die besondere Rolle von Frauen als Sprecherinnen und Moderatorinnen von Nachrichtensendungen früher und heute: Dagmar Berghoff bei der ""Tagesschau"" und Eva-Maria Lemke bei ""heute+""; Lebensweg und Karriere von Dagmar Berghoff; Lebensweg und Karriere von Eva-Maria Lemke; das neue Buch von Jürgen Becker ""Zu dir oder zu mir"" mit dem Thema Sexualität und Fortpflanzung bei Tieren und Menschen; Weg zum Schreiben für Rita Falk und ihr großer Erfolg mit ihren bayerischen Heimatkrimis wie ""Leberkäsjunkie"" und ""Winterkartoffelknödel""; Weg von Rafael Fuchsgruber vom Alkoholiker zum Extremsportler.",Dagmar BERGHOFF,Maria LEMKE,Jürgen BECKER,Rita FALK,Rafael FUCHSGRUBER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 07.07.2016,"Markus Lanz, Staffel 9",9,77,891,07.07.2016,075'33,"23:40:41 - 00:56:14 075'33 O-Ton Interview Markus LANZ mit den Studiogästen Nathalie LICARD (Moderatorin), Sven VOSS (Moderator), Waldemar HARTMANN (Moderator), Andrea KAISER (Moderatorin) und Matze KNOP (Comedian, Parodist) über die Schwerpunktthemen: Fußball EM in Frankreich; Sieg von Frankreich im EM Halbfinale gegen Deutschland; Elfmeterentscheidung vom italienischen Schiedsrichter Nicola Rizzoli für Frankreich; Stärken und Schwächen der deutschen Nationalmannschaft, Gründe für die Niederlage; Verhältnis der Franzosen zu ihrer Nationalmannschaft und zur EM; Sympathien und Antipathien bezüglich Cristiano Ronaldo; besondere Rolle der isländischen Nationalmannschaft und deren Fans.",Nathalie LICARD,Sven VOSS,Waldemar HARTMANN,Andrea KAISER,Matze KNOP,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 12.07.2016,"Markus Lanz, Staffel 9",9,78,892,12.07.2016,075'25,"10:00:00 - 11:15:25 075'25 O-Ton Interview Markus LANZ mit den Studiogästen Peter WOHLLEBEN (Förster, Autor), Susanne NEUMANN (Reinigungskraft), Hannes JAENICKE (Schauspieler, Umweltaktivist) und Lukas IRMLER (Extremsportler) über die Schwerpunktthemen: das aktuelle Buch ""Das Seelenleben der Tiere"" von Wohlleben über die Intelligenzleistungen von Tieren; die Dokumentation ""Im Einsatz für Delfine"" von Jaenicke und das Verhalten von Walen und Delfinen; den harten Berufsalltag in der Reinigungsbranche und die schlechte finanzielle Absicherung; die Faszination Slackline.",Peter WOHLLEBEN,Susanne NEUMANN,Hannes JAENICKE,Lukas IRMLER,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 13.07.2016,"Markus Lanz, Staffel 9",9,79,893,13.07.2016,060'16,"10:00:00 - 11:00:16 060'16 O-Ton Interview Markus LANZ mit den Studiogästen Thomas LENERZ (Bruder des Opfers), Wolfgang KAES (Journalist), Gudrun ROTH (Rechtsanwältin) und Axel PETERMANN (Profiler) über den Fall der 1996 von ihrem Ehemann getöteten Gertrud Ulmen. Die Polizei hatte damals keine Zweifel an der Aussage vom Ehemann, der seine Frau als vermisst meldete. Er behauptete, sie sei mit einem Geschäftsmann ins Ausland gegangen, um ein neues Leben zu beginnen. Ende 2011 las der Journalist Wolfgang Kaes vom Bonner Generalanzeiger zufällig eine amtliche Bekanntmachung zu Gertrud Ulmen, die für tot erklärt werden sollte. Er nahm Kontakt zum Bruder und zu anderen Personen aus dem Umfeld von Gertrud Ulmen auf. Für seine Recherchen zum ""Fall Trudel Ulmen"", die 2012 zur Mordaufklärung führten, bekam er im April 2013 den Henri-Nannen-Preis.",Thomas LENERZ,Wolfgang KAES,Gudrun ROTH,Axel PETERMANN,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 14.07.2016,"Markus Lanz, Staffel 9",9,80,894,14.07.2016,074'56,"10:00:00 - 11:14:56 074'56 O-Ton Interview Markus LANZ mit den Studiogästen Michael STICH (ehem. Tennisprofi), Claudia KOHDE-KILSCH (ehem. Tennisprofi), Ulli POTOFSKI (Moderator), Anna VON BOETTICHER (Apnoetaucherin) und Prof. Sarah DIEFENBACH (Professorin für Wirtschaftspsychologie) über die Schwerpunktthemen: Sieg von Michael Stich 1991 in Wimbledon, seine Karriere als Tennisprofi und seine Rivalität zu Boris Becker; Entscheidung der Tennisspielerin Claudia Kohde-Kilsch, mit 15 Jahren eine Profikarriere zu beginnen, ihr Verhältnis zu Steffi Graf; Erinnerungen von RTL-Moderator Ulli Potofski an Turniere in Wimbledon, an Boris Becker und Michael Stich und an seine Berichterstattung aus dem Wimbledon Studio von RTL 1989 als in der ersten Woche wegen dauerhafter Regenfälle kaum Tennisspiele stattfanden; Erfahrungen der Taucherin Anna von Boetticher mit dem Tauchen in der Tiefe mit und ohne Hilfsmittel; die verschiedenen Disziplinen der Sportart Apnoetauchen; Einfluss von Kommunikationstechnik und ständiger Erreichbarkeit auf das Befinden der Menschen, Auswirkungen auf den sozialen Umgang der Menschen untereinander.",Michael STICH,Claudia KOHDE-KILSCH,Ulli POTOFSKI,Anna VON,Sarah DIEFENBACH,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
