Sendungstitel,season,Staffel,Folge,FolgenNr,Publikationsdatum,Dauer,Infos,Gast_1,Gast_2,Gast_3,Gast_4,Gast_5,Gast_6,Gast_7,Gast_8,Gast_9,Gast_10,Gast_11,Gast_12,Gast_13,Gast_14,Gast_15,Gast_16,Gast_17,Gast_18,Gast_19,Gast_20,Gast_21,instance_of,part_of_series,genre,presenter,original_broadcaster,country_of_origin,original_language_of_film_or_TV_show
Markus Lanz 12.08.2008,"Markus Lanz, Staffel 1",,,,12.08.2008,062'49,"22:50:04 - 23:52:53 062'49 Interview Markus LANZ mit den Studiogästen Hannes JAENICKE (Schauspieler), Maik SCHAFFER (Orang-Utan-Rettungsorganisation Borneo Orangutan Survival Foundation), Frank PLASBERG (Moderator), Phillip WEHNHARD (Schüler), Konstantin WEHNHARD (Schüler) und Andreas ENGLISCH (Papst-Experte) (O-Ton).",Hannes JAENICKE,Maik SCHAFFER,Frank PLASBERG,Phillip WEHNHARD,Konstantin WEHNHARD,Andreas ENGLISCH,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 14.08.2008,"Markus Lanz, Staffel 1",,,,14.08.2008,061'45,"23:01:23 - 00:03:08 061'45 Interview Markus LANZ mit den Studiogästen Esther SCHWEINS (Schauspielerin), Dieter MOOR (Fernsehmoderator, betreibt bei Berlin einen Bio-Bauernhof), Birgit REHLENDER (Lebensmittelchemikerin), Aytekin YILMAZ (ertrank beinahe am Timmendorfer Strand), Emre YILMAZ (Sohn), Klaus WILKENS (Präsident der DLRG), Rolf LÜKE (Organisation ""blausand.de"") und Markus BENNEMANN (Journalist) (O-Ton).",Esther SCHWEINS,Dieter MOOR,Birgit REHLENDER,Aytekin YILMAZ,Emre YILMAZ,Klaus WILKENS,Rolf LÜKE,Markus BENNEMANN,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 19.08.2008,"Markus Lanz, Staffel 1",,,,19.08.2008,063'02,"22:46:21 - 23:49:23 063'02 Interview Markus LANZ mit den Studiogästen Johann LAFER (Fernsehkoch), Steffen HENSSLER (Fernsehkoch), Alexander HERRMANN (Fernsehkoch) und Alfons SCHUHBECK (Fernsehkoch) und Simon KEHRER (Bergsteiger).",Johann LAFER,Steffen HENSSLER,Alexander HERRMANN,Alfons SCHUHBECK,Simon KEHRER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 21.08.2008,"Markus Lanz, Staffel 1",,,,21.08.2008,061'45,"23:00:42 - 00:02:27 061'45 Interview Markus LANZ mit den Studiogästen Gunther TIERSCH (Meteorologe), Peter HARTMANN (überlebte Blitzschlag), Hartwig SCHNELL (Facharzt für Innere Medizin), Patrick LIPUSCH (überlebte Blitzschlag), Achim BÜCHNER (Schauspieler), Ralph MORGENSTERN (Moderator), Hans Werner OLM (Komiker) und Frank G NEIDEL (Facharzt für Chirurgie) und Thomas HUBER (Extremkletterer) und Alexander HUBER (Extremkletterer).",Gunther TIERSCH,,,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 26.08.2008,"Markus Lanz, Staffel 1",,,,26.08.2008,070'04,"22:44:56 - 23:55:00 070'04 Interview Markus LANZ mit den Studiogästen Kristin SCHMOOCK, Solvejg SCHMOOCK und Maren SCHMOOCK (Geschwister pflegten krebskranke Mutter bis zum Tod), Britta STEFFEN (Schwimmerin, Olympiasiegerin 2008), Hinrich ROMEIKE (Vielseitigkeitsreiter, Olympiasieger 2008), Bastian SICK (Bestsellerautor ""Der Dativ ist dem Genitiv sein Tod""), Wolf SCHNEIDER (Sprachkritiker), Gayle TUFTS (Comedian) und Sulaiman MASOMI (Sprachakrobat) (O-Ton).",Kristin SCHMOOCK,Solvejg SCHMOOCK,Maren SCHMOOCK,Britta STEFFEN,Hinrich ROMEIKE,Bastian SICK,Wolf SCHNEIDER,Gayle TUFTS,Sulaiman MASOMI,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 28.08.2008,"Markus Lanz, Staffel 1",,,,28.08.2008,062'36,"23:16:57 - 00:19:33 062'36 Interview Markus LANZ mit den Studiogästen Bettina BÖTTINGER (Moderatorin), Martin RÜTTER (Hundetrainer), Oswalt KOLLE (Aufklärungsexperte), Kurt STARKE (Sexualwissenschaftler), Angela FENSCH (ehem. DDR-Aktmodel), Ruth GASSMANN (Schauspielerin), Björn HOPPMANN (13-jähriger Fastblinder), Iris HOPPMANN (Mutter von Björn), Birgit LORENZ (Augenärztin), Taime KUTTIG (bester Freund von Björn) und Andreas KORN (Moderator) (O-Ton).",Bettina BÖTTINGER,Martin RÜTTER,Oswalt KOLLE,Kurt STARKE,Angela FENSCH,Ruth GASSMANN,Björn HOPPMANN,Iris HOPPMANN,Birgit LORENZ,Taime KUTTIG,Andreas KORN,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 02.09.2008,"Markus Lanz, Staffel 1",,,,02.09.2008,068'58,"22:45:22 - 23:54:20 068'58 Interview Markus LANZ mit den Studiogästen Bernhard HOECKER (Comedian), Peter NOTTMEIER (Comedian), Martina HILL (Comedian), Eckart VON HIRSCHHAUSEN (Arzt und Kabarettist), Robert ATZORN (Schauspieler) und Viktoria TAPP (Autorin von ""Zusammen besiegen wir den Alkohol"") (O-Ton).",Bernhard HOECKER,Peter NOTTMEIER,Martina HILL,Eckart VON,Robert ATZORN,Viktoria TAPP,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 03.09.2008,"Markus Lanz, Staffel 1",,,,03.09.2008,061'27,"23:19:40 - 00:21:07 061'27 Interview Markus LANZ mit den Studiogästen Dieter HAARHAUS (Mediziner, Autor), Susanne FRÖHLICH (Autorin), Reinhold BECKMANN (Moderator), Renate HONG (traf ihren nordkoreanischen Mann nach beinahe 50 Jahren wieder), Uwe HONG (Sohn) und Peter HONG (Sohn) (O-Ton).",Dieter HAARHAUS,Susanne FRÖHLICH,Reinhold BECKMANN,Renate HONG,Uwe HONG,Peter HONG,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 04.09.2008,"Markus Lanz, Staffel 1",,,,04.09.2008,062'29,"23:18:24 - 00:20:53 062'29 Interview Markus LANZ mit den Studiogästen Tim MÄLZER (Fernsehkoch), Manfred und Jürgen CHARCHULLA (Surf-Vizeweltmeister im Rentenalter) und Paul POTTS (Tenor) (O-Ton); MÄLZER bei Trockenübung auf Surfbrett im Studio; Bühnenauftritt POTTS mit dem Lied ""Time to say goodbye"".",Tim MÄLZER,Jürgen CHARCHULLA,Paul POTTS,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz daheim: Mein Advent in Südtirol,,,,,14.12.2008,,"Markus Lanz präsentiert die Sendung ""Markus Lanz daheim: Mein Advent in Südtirol"". Für Markus Lanz ist es eine besonders große Ehre, gemeinsam mit seinem Freund Horst Lichter, seine Heimat Südtirol präsentieren zu dürfen.",,,,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
