ID,Datum,Talkshow,Name_voll_raw,Name,Funktion,Beschreibung,Partei,Summe,Gruppe
anne-will_290-spionieren-fuer-die-amerikaner-hat-die-deutsche-regierung-da-mitgemacht-707935,2015-04-29,Anne Will,Michael Grosse-Brömer,Michael Grosse-Brömer,Gast,"Parlamentarischer Geschäftsführer der Unionsfraktion, CDU",CDU,1,Politik
anne-will_290-spionieren-fuer-die-amerikaner-hat-die-deutsche-regierung-da-mitgemacht-707935,2015-04-29,Anne Will,Dr. Sylke Tempel,Sylke Tempel,Gast,Chefredakteurin der Zeitschrift „Internationale Politik,keine Partei,2,Wissenschaft
anne-will_290-spionieren-fuer-die-amerikaner-hat-die-deutsche-regierung-da-mitgemacht-707935,2015-04-29,Anne Will,Hans-Christian Ströbele,Hans-Christian Ströbele,Gast,"Mitglied im Parlamentarischen Kontrollgremium, B’90/​Grüne",Grüne,1,Politik
anne-will_290-spionieren-fuer-die-amerikaner-hat-die-deutsche-regierung-da-mitgemacht-707935,2015-04-29,Anne Will,Dr. Ralf Stegner,Ralf Stegner,Gast,"SPD, stellvertretender Parteivorsitzender",SPD,1,Politik
anne-will_290-spionieren-fuer-die-amerikaner-hat-die-deutsche-regierung-da-mitgemacht-707935,2015-04-29,Anne Will,Anke Domscheit-Berg,Anke Domscheit-Berg,Gast,Publizistin,Linke,2,Politik
anne-will_291-70-jahre-nach-der-befreiung-muessen-wir-russland-heute-noch-dankbar-sein-710757,2015-05-06,Anne Will,Prof. Dr. Herfried Münkler,Herfried Münkler,Gast,Politikwissenschaftler,keine Partei,1,Wissenschaft
anne-will_291-70-jahre-nach-der-befreiung-muessen-wir-russland-heute-noch-dankbar-sein-710757,2015-05-06,Anne Will,Marieluise Beck,Marieluise Beck,Gast,"Sprecherin für Osteuropapolitik der Bundestagsfraktion, B’90/​Grüne",Grüne,1,Politik
anne-will_291-70-jahre-nach-der-befreiung-muessen-wir-russland-heute-noch-dankbar-sein-710757,2015-05-06,Anne Will,Erika Steinbach,Erika Steinbach,Gast,"Sprecherin für Menschenrechte,humanitäre Hilfe, CDU",CDU,1,Politik
anne-will_291-70-jahre-nach-der-befreiung-muessen-wir-russland-heute-noch-dankbar-sein-710757,2015-05-06,Anne Will,Katja Kipping,Katja Kipping,Gast,"Parteivorsitzende, Die Linke",Linke,1,Politik
anne-will_292-ausspaehen-unter-freunden-geht-doch-wie-glaubwuerdig-ist-angela-merkel-noch-712496,2015-05-13,Anne Will,Stephan Mayer,Stephan Mayer,Gast,"innenpolitischer Sprecher der Unionsfraktion, CSU",CSU,1,Politik
anne-will_292-ausspaehen-unter-freunden-geht-doch-wie-glaubwuerdig-ist-angela-merkel-noch-712496,2015-05-13,Anne Will,Georg Mascolo,Georg Mascolo,Gast,"Leiter der Recherchekooperation von NDR, WDR,Süddeutscher Zeitung",keine Partei,1,Medien
anne-will_292-ausspaehen-unter-freunden-geht-doch-wie-glaubwuerdig-ist-angela-merkel-noch-712496,2015-05-13,Anne Will,Sabine Leutheusser-Schnarrenberger,Sabine Leutheusser-Schnarrenberger,Gast,"ehemalige Bundesjustizministerin, FDP",FDP,1,Politik
anne-will_292-ausspaehen-unter-freunden-geht-doch-wie-glaubwuerdig-ist-angela-merkel-noch-712496,2015-05-13,Anne Will,Thorsten Schäfer-Gümbel,Thorsten Schäfer-Gümbel,Gast,"stellvertretender Bundesvorsitzender, SPD",SPD,1,Politik
anne-will_293-wem-nuetzt-ttip-nur-konzernen-oder-auch-verbrauchern-714141,2015-05-20,Anne Will,Sahra Wagenknecht,Sahra Wagenknecht,Gast,"Die Linke, Erste stellvertretende Fraktionsvorsitzende",Linke,1,Politik
anne-will_293-wem-nuetzt-ttip-nur-konzernen-oder-auch-verbrauchern-714141,2015-05-20,Anne Will,Matthias Machnig,Matthias Machnig,Gast,"SPD, Staatssekretär im Bundesministerium für Wirtschaft,Energie",SPD,1,Politik
anne-will_293-wem-nuetzt-ttip-nur-konzernen-oder-auch-verbrauchern-714141,2015-05-20,Anne Will,Ulrich Grillo,Ulrich Grillo,Gast,Präsident Bundesverband der Deutschen Industrie e.V.,keine Partei,1,Interessenvertretung
